id, number_of_iterations, initial_pop, final_pop, initial_density, final_density, end_status, elapsed_time
1, 0, 0, 0, 0.000000, 0.000000, empty, 0.000008
2, 1, 1, 0, 1.000000, 0.000000, empty, 0.000635
3, 1, 1, 0, 1.000000, 0.000000, empty, 0.000424
4, 1, 2, 0, 1.000000, 0.000000, empty, 0.000405
5, 1, 1, 0, 1.000000, 0.000000, empty, 0.000386
6, 1, 2, 0, 0.666667, 0.000000, empty, 0.000154
7, 1, 2, 0, 1.000000, 0.000000, empty, 0.000401
8, 2, 3, 3, 1.000000, 1.000000, period_2, 0.000495
9, 1, 1, 0, 1.000000, 0.000000, empty, 0.000238
10, 1, 2, 0, 0.500000, 0.000000, empty, 0.000203
11, 1, 2, 0, 0.666667, 0.000000, empty, 0.000374
12, 1, 3, 0, 0.750000, 0.000000, empty, 0.000297
13, 1, 2, 0, 1.000000, 0.000000, empty, 0.000181
14, 1, 3, 0, 0.750000, 0.000000, empty, 0.000236
15, 2, 3, 3, 1.000000, 1.000000, period_2, 0.000501
16, 3, 4, 6, 1.000000, 0.500000, stable, 0.000591
17, 1, 1, 0, 1.000000, 0.000000, empty, 0.000410
18, 1, 2, 0, 0.400000, 0.000000, empty, 0.000401
19, 1, 2, 0, 0.500000, 0.000000, empty, 0.000402
20, 1, 3, 0, 0.600000, 0.000000, empty, 0.000151
21, 1, 2, 0, 0.666667, 0.000000, empty, 0.000384
22, 1, 3, 0, 0.600000, 0.000000, empty, 0.000228
23, 1, 3, 0, 0.750000, 0.000000, empty, 0.000170
24, 4, 4, 3, 0.800000, 1.000000, period_2, 0.000656
25, 1, 2, 0, 1.000000, 0.000000, empty, 0.000199
26, 1, 3, 0, 0.600000, 0.000000, empty, 0.000229
27, 1, 3, 0, 0.750000, 0.000000, empty, 0.000169
28, 1, 4, 0, 0.800000, 0.000000, empty, 0.000401
29, 2, 3, 3, 1.000000, 1.000000, period_2, 0.000226
30, 4, 4, 3, 0.800000, 1.000000, period_2, 0.000583
31, 3, 4, 6, 1.000000, 0.500000, stable, 0.000438
32, 8, 5, 12, 1.000000, 0.244898, period_2, 0.000555
33, 1, 1, 0, 1.000000, 0.000000, empty, 0.000222
34, 1, 2, 0, 1.000000, 0.000000, empty, 0.000491
35, 1, 2, 0, 0.500000, 0.000000, empty, 0.000176
36, 2, 3, 4, 0.750000, 1.000000, stable, 0.000227
37, 1, 2, 0, 0.333333, 0.000000, empty, 0.000194
38, 2, 3, 0, 0.500000, 0.000000, empty, 0.000190
39, 2, 3, 0, 0.500000, 0.000000, empty, 0.000223
40, 4, 4, 6, 0.666667, 0.500000, stable, 0.000257
41, 1, 2, 0, 0.250000, 0.000000, empty, 0.000211
42, 1, 3, 0, 0.375000, 0.000000, empty, 0.000220
43, 1, 3, 0, 0.375000, 0.000000, empty, 0.000195
44, 2, 4, 4, 0.500000, 1.000000, stable, 0.000234
45, 1, 3, 0, 0.375000, 0.000000, empty, 0.000208
46, 2, 4, 0, 0.500000, 0.000000, empty, 0.000200
47, 5, 4, 0, 0.500000, 0.000000, empty, 0.000267
48, 11, 5, 12, 0.625000, 0.244898, period_2, 0.001127
49, 1, 2, 0, 0.200000, 0.000000, empty, 0.000189
50, 1, 3, 0, 0.300000, 0.000000, empty, 0.000400
51, 1, 3, 0, 0.300000, 0.000000, empty, 0.000402
52, 2, 4, 4, 0.400000, 1.000000, stable, 0.000510
53, 1, 3, 0, 0.300000, 0.000000, empty, 0.000225
54, 2, 4, 0, 0.400000, 0.000000, empty, 0.000488
55, 2, 4, 0, 0.400000, 0.000000, empty, 0.000203
56, 4, 5, 6, 0.500000, 0.500000, stable, 0.000625
57, 1, 3, 0, 0.300000, 0.000000, empty, 0.000205
58, 1, 4, 0, 0.400000, 0.000000, empty, 0.000475
59, 1, 4, 0, 0.400000, 0.000000, empty, 0.000153
60, 2, 5, 4, 0.500000, 1.000000, stable, 0.000478
61, 4, 4, 3, 0.400000, 1.000000, period_2, 0.000831
62, 4, 5, 0, 0.500000, 0.000000, empty, 0.000377
63, 6, 5, 7, 0.500000, 0.437500, stable, 0.000654
64, 42, 6, 6, 0.600000, 0.085714, period_2, 0.001622
65, 1, 1, 0, 1.000000, 0.000000, empty, 0.000197
66, 1, 2, 0, 0.500000, 0.000000, empty, 0.000178
67, 1, 2, 0, 1.000000, 0.000000, empty, 0.000327
68, 2, 3, 4, 0.750000, 1.000000, stable, 0.000251
69, 1, 2, 0, 0.500000, 0.000000, empty, 0.000195
70, 2, 3, 0, 0.500000, 0.000000, empty, 0.000221
71, 2, 3, 4, 0.750000, 1.000000, stable, 0.000245
72, 11, 4, 12, 0.666667, 0.244898, period_2, 0.000443
73, 1, 2, 0, 0.333333, 0.000000, empty, 0.000313
74, 1, 3, 0, 0.375000, 0.000000, empty, 0.000229
