time,x,y,z
1.876,-0.05,0.16,1.04
1.886,-0.04,0.16,1.03
1.899,-0.05,0.15,1.06
1.906,-0.04,0.15,1.05
1.916,-0.06,0.15,1.04
1.926,-0.06,0.16,1.04
1.937,-0.06,0.15,1.03
1.947,-0.05,0.16,1.04
1.961,-0.04,0.16,1.04
1.980,-0.05,0.16,1.03
1.981,-0.06,0.16,1.02
1.986,-0.05,0.15,1.04
1.999,-0.04,0.14,1.03
2.018,-0.05,0.14,1.04
2.019,-0.04,0.13,1.04
2.035,-0.03,0.13,1.04
2.035,-0.04,0.14,1.03
2.048,-0.04,0.14,1.04
2.056,-0.04,0.15,1.01
2.078,-0.04,0.14,1.02
2.079,-0.04,0.17,1.02
2.086,-0.04,0.16,1.02
2.101,-0.05,0.16,1.03
2.106,-0.05,0.15,1.04
2.118,-0.05,0.18,1.06
2.126,-0.05,0.16,1.07
2.137,-0.07,0.15,1.06
2.147,-0.07,0.14,1.01
2.158,-0.07,0.16,1.06
2.167,-0.06,0.16,1.05
2.177,-0.07,0.17,1.02
2.187,-0.07,0.16,1.05
2.200,-0.06,0.16,1.04
2.206,-0.06,0.16,1.03
2.218,-0.06,0.16,1.04
2.237,-0.06,0.16,1.04
2.247,-0.06,0.17,1.04
2.266,-0.06,0.16,1.03
2.271,-0.06,0.15,1.04
2.276,-0.05,0.16,1.03
2.287,-0.05,0.14,1.04
2.297,-0.05,0.14,1.02
2.307,-0.05,0.14,1.04
2.317,-0.06,0.15,1.04
2.326,-0.05,0.14,1.06
2.337,-0.06,0.16,1.04
2.364,-0.05,0.14,1.02
2.365,-0.05,0.15,1.05
2.365,-0.05,0.16,1.04
2.376,-0.04,0.15,1.04
2.387,-0.03,0.15,1.03
2.403,-0.03,0.15,1.02
2.406,-0.04,0.16,1.03
2.420,-0.05,0.16,1.03
2.426,-0.05,0.16,1.04
2.436,-0.06,0.15,1.05
2.447,-0.05,0.16,1.03
2.470,-0.05,0.14,1.04
2.470,-0.05,0.15,1.04
2.476,-0.05,0.14,1.04
2.487,-0.05,0.14,1.03
2.520,-0.05,0.15,1.04
2.521,-0.04,0.15,1.04
2.521,-0.05,0.16,1.02
2.529,-0.05,0.17,1.02
2.536,-0.05,0.17,1.03
2.547,-0.06,0.16,1.04
2.563,-0.04,0.16,1.02
2.568,-0.04,0.16,1.03
2.576,-0.03,0.14,1.03
2.587,-0.04,0.14,1.04
2.602,-0.03,0.15,1.03
2.606,-0.04,0.14,1.04
2.617,-0.04,0.14,1.05
2.626,-0.04,0.16,1.06
2.637,-0.05,0.13,1.04
2.646,-0.04,0.14,1.06
2.669,-0.05,0.14,1.03
2.669,-0.06,0.14,1.04
2.694,-0.05,0.15,1.04
2.695,-0.05,0.14,1.04
