time,x,y,z
1.960,0.02,0.28,1.06
1.968,0.01,0.21,1.10
1.976,0.02,0.14,1.15
1.987,0.03,0.07,1.18
1.996,0.03,-0.00,1.24
2.007,0.04,-0.03,1.26
2.034,0.07,-0.02,1.24
2.035,0.09,0.00,1.21
2.036,0.10,0.03,1.13
2.049,0.10,0.06,1.05
2.059,0.11,0.08,0.99
2.069,0.12,0.09,0.95
2.076,0.14,0.11,0.93
2.087,0.14,0.10,0.93
2.096,0.16,0.09,0.94
2.107,0.18,0.06,0.93
2.129,0.16,0.05,0.92
2.129,0.14,0.04,0.94
2.151,0.16,0.03,0.96
2.152,0.18,0.02,1.00
2.156,0.18,0.01,0.99
2.167,0.18,0.02,0.98
2.176,0.16,0.06,0.94
2.187,0.12,0.11,0.92
2.196,0.11,0.16,0.89
2.207,0.11,0.17,0.88
2.242,0.11,0.18,0.88
2.243,0.11,0.18,0.89
2.244,0.11,0.17,0.87
2.247,0.10,0.16,0.88
2.257,0.08,0.17,0.86
2.267,0.06,0.17,0.86
2.276,0.05,0.18,0.88
2.287,0.06,0.18,0.91
2.296,0.06,0.20,0.97
2.306,0.08,0.20,1.03
2.331,0.09,0.20,1.09
2.332,0.10,0.18,1.15
2.342,0.10,0.16,1.16
2.347,0.10,0.15,1.16
2.357,0.10,0.15,1.14
2.367,0.12,0.16,1.13
2.376,0.14,0.17,1.10
2.387,0.16,0.18,1.09
2.396,0.16,0.22,1.04
2.407,0.16,0.24,1.03
2.436,0.14,0.25,1.00
2.437,0.14,0.27,0.98
2.438,0.13,0.26,0.96
2.446,0.10,0.27,0.94
2.457,0.08,0.28,0.91
2.467,0.07,0.28,0.93
2.476,0.06,0.29,0.98
2.487,0.04,0.30,1.00
2.496,0.04,0.29,1.05
2.507,0.03,0.29,1.09
2.529,0.02,0.26,1.12
2.530,0.01,0.24,1.17
2.555,0.01,0.22,1.18
2.557,-0.00,0.18,1.24
2.557,0.01,0.15,1.23
2.573,0.01,0.17,1.22
2.576,0.05,0.19,1.23
2.587,0.08,0.19,1.27
2.596,0.08,0.17,1.22
2.607,0.05,0.28,1.24
2.617,0.08,0.27,1.19
2.637,0.13,0.22,1.29
2.637,0.19,0.21,1.26
2.647,0.22,0.09,1.33
2.666,0.17,0.17,1.24
2.667,0.10,0.19,1.10
2.676,0.09,0.17,1.03
2.687,0.12,0.12,0.99
2.696,0.13,0.12,0.92
2.707,0.07,0.10,0.86
2.729,0.05,0.07,0.82
2.730,0.06,0.10,0.78
2.750,0.06,0.14,0.74
2.751,0.05,0.17,0.74
2.757,0.06,0.22,0.76
2.767,0.08,0.29,0.79
2.776,0.11,0.32,0.80
2.787,0.10,0.28,0.76
2.798,0.08,0.25,0.73
2.807,0.08,0.19,0.86
2.839,0.10,0.16,0.82
2.840,0.09,0.13,0.79
2.840,0.07,0.12,0.76
2.847,0.06,0.11,0.74
2.860,0.08,0.10,0.72
2.871,0.21,0.15,0.81
2.876,0.04,0.09,0.76
2.887,-0.06,0.14,0.79
2.896,-0.08,0.23,0.80
2.907,-0.03,0.26,0.82
2.934,0.03,0.28,0.84
2.934,0.06,0.28,0.86
2.944,0.08,0.29,0.92
2.947,0.10,0.31,0.98
2.957,0.07,0.31,1.03
2.971,-0.07,0.34,1.18
2.976,-0.10,0.36,1.30
2.987,0.07,0.30,1.36
2.996,0.22,0.26,1.38
3.007,0.30,0.30,1.36
3.047,0.25,0.38,1.32
3.049,0.15,0.39,1.26
3.050,0.12,0.31,1.25
3.050,0.18,0.22,1.21
3.057,0.26,0.14,1.15
3.073,0.31,0.16,1.10
3.076,0.34,0.28,1.01
3.087,0.34,0.37,1.01
3.097,0.34,0.40,1.03
3.107,0.28,0.41,0.97
3.137,0.34,0.45,0.88
3.137,0.24,0.40,0.81
3.138,0.14,0.37,0.80
3.147,0.20,0.45,0.78
3.157,0.33,0.51,0.82
3.171,0.45,0.52,0.88
3.176,0.46,0.52,0.98
3.187,0.39,0.52,1.02
3.196,0.28,0.53,0.93
3.207,0.22,0.51,0.90
3.246,0.18,0.52,0.84
3.247,0.19,0.47,0.76
3.247,0.20,0.37,0.86
3.248,0.18,0.27,1.14
3.257,0.15,0.06,1.49
3.271,0.13,-0.26,1.85
3.276,0.18,-0.54,2.02
3.287,0.20,-0.61,2.04
3.296,0.18,-0.47,1.96
3.306,0.15,-0.26,1.67
3.335,0.08,-0.07,1.27
3.337,0.05,0.16,0.96
3.337,0.07,0.35,0.88
3.347,0.16,0.47,1.02
3.357,0.18,0.62,1.22
3.368,0.14,0.78,1.25
3.376,0.08,0.83,1.20
3.387,0.02,0.85,1.05
3.396,-0.03,0.82,0.82
3.406,-0.08,0.71,0.66
3.435,-0.15,0.55,0.63
3.436,-0.16,0.44,0.76
3.437,-0.09,0.38,0.96
3.457,-0.00,0.30,1.11
3.458,0.04,0.20,1.23
3.467,0.08,0.12,1.29
3.476,0.15,0.08,1.39
3.487,0.24,0.10,1.45
3.496,0.28,0.30,1.49
3.506,0.14,0.55,1.44
3.535,-0.04,0.62,1.35
3.538,-0.19,0.55,1.20
3.543,-0.31,0.32,0.93
3.557,-0.28,0.04,0.78
3.558,-0.11,-0.01,1.10
3.567,0.02,0.11,1.41
3.576,0.14,0.20,1.53
3.587,0.36,0.27,1.58
3.596,0.30,0.15,1.57
3.606,0.23,-0.13,1.30
3.628,0.22,-0.37,1.14
3.628,0.23,-0.54,0.98
3.654,0.21,-0.46,0.86
3.655,0.14,-0.29,0.58
3.656,0.14,-0.12,0.38
3.668,0.24,0.06,0.43
3.676,0.27,-0.01,0.60
3.687,0.39,-0.14,1.02
3.696,0.71,-0.10,1.64
