time,x,y,z
0.007,0.02,0.18,1.04
0.023,0.03,0.16,1.02
0.023,0.03,0.14,1.02
0.038,0.04,0.16,1.02
0.044,0.02,0.16,1.03
0.054,0.02,0.17,1.04
0.072,0.02,0.17,1.05
0.077,0.01,0.18,1.05
0.084,0.01,0.19,1.05
0.094,0.01,0.18,1.06
0.115,0.00,0.19,1.06
0.116,0.02,0.18,1.03
0.134,0.01,0.18,1.03
0.136,0.02,0.17,1.02
0.152,0.01,0.17,1.02
0.154,0.02,0.16,1.02
0.169,0.04,0.17,1.02
0.181,0.02,0.16,1.02
0.184,0.02,0.17,1.02
0.194,0.03,0.16,1.03
0.204,0.02,0.16,1.03
0.225,0.02,0.17,1.05
0.226,0.02,0.17,1.04
0.238,0.02,0.16,1.06
0.244,0.01,0.18,1.06
0.254,0.02,0.18,1.05
0.264,0.02,0.17,1.04
0.274,0.01,0.17,1.06
0.289,0.02,0.18,1.04
0.294,0.02,0.17,1.05
0.304,0.02,0.19,1.02
0.314,0.02,0.17,1.03
0.330,0.04,0.17,1.04
0.336,0.02,0.17,1.03
0.345,0.03,0.16,1.04
0.354,0.02,0.17,1.04
0.364,0.02,0.16,1.04
0.374,0.01,0.16,1.02
0.388,0.02,0.15,1.03
0.394,0.01,0.17,1.04
0.404,0.01,0.16,1.03
0.414,0.02,0.19,1.04
0.424,0.03,0.16,1.02
0.434,0.02,0.17,1.04
0.444,0.02,0.17,1.04
0.454,0.01,0.17,1.02
0.464,0.02,0.17,1.02
0.474,0.00,0.17,1.04
0.495,0.01,0.17,1.03
0.495,0.02,0.18,1.02
0.504,0.02,0.16,1.03
0.521,0.02,0.18,1.02
0.524,0.03,0.17,1.03
0.534,0.03,0.17,1.04
0.544,0.02,0.17,1.04
0.554,0.03,0.16,1.04
0.570,0.03,0.16,1.04
0.574,0.04,0.17,1.04
0.588,0.03,0.16,1.02
0.594,0.03,0.17,1.04
0.613,0.02,0.16,1.02
0.614,0.02,0.18,1.02
0.624,0.02,0.18,1.04
0.634,0.02,0.18,1.04
0.644,0.01,0.18,1.04
0.655,0.02,0.19,1.06
0.665,0.01,0.18,1.04
0.674,0.01,0.18,1.05
0.692,0.02,0.17,1.05
0.698,0.02,0.17,1.04
0.706,0.02,0.16,1.03
0.715,0.02,0.17,1.04
0.725,0.03,0.17,1.04
0.739,0.03,0.17,1.04
0.745,0.03,0.16,1.02
0.758,0.03,0.16,1.04
0.774,0.02,0.17,1.03
0.775,0.02,0.16,1.02
0.790,0.02,0.16,1.03
0.794,0.02,0.18,1.02
0.812,0.02,0.18,1.02
0.818,0.02,0.18,1.01
0.825,0.01,0.18,1.01
0.834,0.01,0.18,1.03
0.844,0.01,0.18,1.04
0.854,0.02,0.17,1.04
0.871,0.02,0.18,1.06
0.876,0.02,0.17,1.05
0.884,0.03,0.18,1.07
0.894,0.03,0.18,1.07
0.911,0.02,0.17,1.06
0.917,0.02,0.18,1.04
0.925,0.02,0.17,1.04
0.937,0.02,0.17,1.04
0.944,0.02,0.17,1.03
