Instante(s),PosicaoAngular(graus)
0.0,0.0
0.07,22.703
0.141,45.73
0.223,72.324
0.271,87.892
0.351,113.838
0.446,144.649
0.491,159.243
0.561,181.946
0.631,204.649
0.734,238.054
0.761,246.811
0.841,272.757
0.9,291.892
0.971,314.919
1.051,340.865
1.144,371.027
1.19,385.946
1.27,411.892
1.345,436.216
1.4,454.054
1.481,480.324
1.569,508.865
1.636,530.595
1.691,548.432
1.761,571.135
1.851,600.324
1.901,616.541
1.981,642.486
2.047,663.892
2.152,697.946
2.18,707.027
2.26,732.973
2.356,764.108
2.391,775.459
2.463,798.811
2.566,832.216
2.601,843.568
2.67,865.946
2.762,895.784
2.812,912.0
2.88,934.054
2.952,957.405
3.056,991.135
3.091,1002.486
3.167,1027.135
3.263,1058.27
3.301,1070.595
3.37,1092.973
3.471,1125.73
3.511,1138.703
3.581,1161.405
3.662,1187.676
3.72,1206.486
3.791,1229.514
3.874,1256.432
3.97,1287.568
4.002,1297.946
4.07,1320.0
4.174,1353.73
4.21,1365.405
4.305,1396.216
4.377,1419.568
4.42,1433.514
4.49,1456.216
4.587,1487.676
4.632,1502.27
4.701,1524.649
4.782,1550.919
4.831,1566.811
4.926,1597.622
5.017,1627.135
5.051,1638.162
5.154,1671.568
5.191,1683.568
5.315,1723.784
5.356,1737.081
5.404,1752.649
5.494,1781.838
5.6,1816.216
5.61,1819.459
5.712,1852.541
5.802,1881.73
5.822,1888.216
5.89,1910.27
5.962,1933.622
6.056,1964.108
6.12,1984.865
6.222,2017.946
6.247,2026.054
6.331,2053.297
6.381,2069.514
6.45,2091.892
6.551,2124.649
6.581,2134.378
6.66,2160.0
