Instante(s),Pos_x(m),Pos_y(m)
0.07,0.572,0.182
0.145,0.45,0.35
0.24,0.197,0.529
0.28,0.073,0.596
0.374,-0.318,0.737
0.419,-0.526,0.795
0.491,-0.919,0.875
0.56,-1.348,0.935
0.657,-2.054,0.986
0.699,-2.378,1.0
0.8,-3.275,1.01
0.865,-3.896,0.995
0.913,-4.38,0.976
0.989,-5.212,0.932
1.078,-6.273,0.851
1.126,-6.869,0.796
1.204,-7.908,0.692
1.268,-8.805,0.591
1.329,-9.701,0.483
1.399,-10.784,0.343
1.497,-12.406,0.113
1.539,-13.12,0.006
1.609,-14.366,-0.184
1.679,-15.665,-0.39
1.774,-17.528,-0.703
1.819,-18.432,-0.861
1.889,-19.894,-1.118
1.977,-21.817,-1.468
2.03,-23.005,-1.692
2.104,-24.726,-2.019
2.194,-26.907,-2.447
2.271,-28.837,-2.841
2.309,-29.805,-3.04
2.385,-31.807,-3.451
2.481,-34.437,-4.006
2.519,-35.493,-4.233
2.589,-37.495,-4.659
2.71,-41.116,-5.449
2.739,-41.993,-5.644
2.801,-43.91,-6.065
2.886,-46.62,-6.666
2.939,-48.339,-7.053
3.023,-51.144,-7.684
3.092,-53.5,-8.224
3.177,-56.481,-8.914
3.219,-57.973,-9.262
3.313,-61.414,-10.061
3.381,-63.951,-10.661
3.431,-65.845,-11.11
3.506,-68.749,-11.799
3.591,-72.119,-12.608
3.639,-74.047,-13.074
3.709,-76.914,-13.766
3.781,-79.92,-14.497
3.839,-82.379,-15.097
3.929,-86.285,-16.054
4.009,-89.825,-16.933
4.096,-93.757,-17.919
4.129,-95.261,-18.299
4.211,-99.073,-19.252
4.294,-103.006,-20.246
4.34,-105.209,-20.805
4.424,-109.312,-21.844
4.539,-115.071,-23.322
4.561,-116.177,-23.608
4.628,-119.599,-24.482
4.705,-123.598,-25.508
4.819,-129.659,-27.078
4.829,-130.192,-27.216
4.909,-134.528,-28.325
5.003,-139.719,-29.664
5.039,-141.72,-30.183
5.114,-145.955,-31.275
5.215,-151.768,-32.784
5.249,-153.738,-33.298
5.321,-157.967,-34.396
5.432,-164.623,-36.133
5.459,-166.25,-36.559
5.539,-171.142,-37.832
5.617,-175.979,-39.098
5.659,-178.602,-39.786
5.766,-185.416,-41.565
6.631,-248.206,-60.015
6.635,-248.495,-60.101
6.637,-248.64,-60.144
6.639,-248.784,-60.187
6.64,-248.857,-60.208
6.643,-249.074,-60.273
6.645,-249.219,-60.316
6.647,-249.364,-60.359
6.648,-249.436,-60.38
6.65,-249.581,-60.423
6.652,-249.726,-60.466
6.654,-249.871,-60.509
6.668,-250.889,-60.81
6.743,-256.405,-62.428
6.814,-261.682,-63.978
6.891,-267.471,-65.68
6.986,-274.711,-67.816
7.017,-277.084,-68.518
7.079,-281.873,-69.927
7.152,-287.572,-71.603
