Instante(s),Pos_y(m)
0.0,4.03
0.082,3.964
0.139,3.886
0.224,3.7
0.335,3.335
0.355,3.265
0.471,2.73
0.51,2.535
0.584,2.111
0.668,1.56
0.7,1.341
0.826,0.32
