Instante(s),Pos_x(m),Pos_y(m)
0.0,0.6,0.0
0.08,0.062,-0.597
0.167,0.57,-0.186
0.228,-0.518,-0.303
0.29,-0.105,0.591
0.36,-0.569,0.19
0.444,-0.574,0.173
0.536,0.55,-0.239
0.57,0.582,-0.148
0.65,-0.087,-0.594
0.751,-0.021,-0.6
0.791,0.418,0.431
0.86,0.043,0.598
0.935,-0.16,-0.578
1.071,0.22,-0.558
1.074,0.598,-0.043
1.145,0.117,0.588
1.21,0.504,0.326
1.28,-0.045,0.598
1.368,-0.6,-0.019
1.446,0.346,0.49
1.491,0.3,-0.52
1.566,-0.192,0.569
1.66,0.49,-0.346
1.701,-0.337,0.496
1.774,-0.206,-0.564
1.851,-0.12,0.588
1.954,-0.523,0.293
2.796,-0.517,-0.305
2.798,-0.171,-0.575
2.8,0.266,-0.538
2.801,0.444,-0.403
2.803,0.6,0.007
2.815,-0.124,-0.587
2.817,0.308,-0.515
2.82,0.597,0.055
2.822,0.4,0.447
2.824,-0.011,0.6
2.826,-0.417,0.432
2.828,-0.599,0.033
2.83,-0.461,-0.384
2.909,-0.246,0.547
2.992,-0.047,0.598
3.067,-0.072,-0.596
3.132,-0.478,-0.363
3.223,0.592,0.095
3.258,0.461,0.384
3.34,0.6,-0.015
3.407,0.598,-0.045
3.451,-0.464,-0.381
3.55,-0.599,-0.029
3.62,-0.261,-0.54
3.66,0.556,0.226
3.734,-0.59,0.111
3.845,0.519,0.302
3.923,-0.071,-0.596
3.951,-0.484,0.355
4.024,-0.005,-0.6
4.146,0.596,0.065
4.166,0.153,0.58
4.235,-0.255,0.543
4.347,0.599,-0.027
4.37,-0.392,0.455
4.44,-0.587,-0.126
4.53,0.476,-0.365
4.649,0.598,-0.053
4.651,0.474,0.368
4.733,0.599,-0.036
4.843,-0.577,-0.165
4.863,-0.053,-0.598
4.945,-0.434,-0.415
5.025,-0.457,0.389
5.07,0.545,0.252
5.158,-0.228,0.555
5.237,0.596,0.07
5.327,-0.44,0.408
5.358,0.083,0.594
5.438,0.6,-0.022
5.527,-0.174,0.574
5.56,-0.049,0.598
5.682,-0.588,-0.119
5.706,0.583,-0.143
5.77,0.093,-0.593
