Instante(s),Pos_y(m)
0.0,4.03
0.029,4.022
0.109,3.936
0.23,3.663
0.233,3.656
0.323,3.371
0.438,2.877
0.44,2.869
0.568,2.156
0.601,1.961
0.688,1.374
0.779,0.679
0.868,-0.078
0.87,-0.096
0.973,-1.078
1.004,-1.384
1.09,-2.303
