Instante(s),Pos_x(m),Pos_y(m)
0.0,0.6,0.0
0.049,0.6,0.121
0.129,0.6,0.318
0.246,0.581,0.608
0.318,0.524,0.789
0.348,0.478,0.866
0.434,0.312,1.088
0.512,0.064,1.295
0.549,-0.106,1.396
0.646,-0.628,1.667
0.689,-0.955,1.792
0.761,-1.587,2.007
0.861,-2.67,2.318
0.944,-3.833,2.591
1.043,-5.515,2.935
1.869,-22.774,5.994
1.871,-22.888,6.005
1.873,-23.002,6.017
1.878,-23.287,6.046
1.88,-23.403,6.058
1.882,-23.518,6.07
1.884,-23.634,6.082
1.886,-23.75,6.093
1.887,-23.808,6.099
1.889,-23.924,6.111
1.891,-24.041,6.123
1.893,-24.158,6.135
1.896,-24.335,6.153
1.981,-29.347,6.659
2.019,-31.843,6.9
2.091,-36.8,7.371
2.159,-41.893,7.84
2.256,-49.734,8.543
2.343,-57.527,9.218
2.369,-60.069,9.433
2.45,-68.194,10.113
2.545,-78.485,10.956
2.579,-82.498,11.277
2.649,-91.013,11.953
2.737,-102.381,12.842
2.79,-109.743,13.408
2.868,-121.05,14.269
2.939,-131.987,15.091
3.051,-150.191,16.444
3.078,-154.951,16.792
3.163,-170.227,17.905
3.263,-189.29,19.279
3.292,-195.202,19.7
3.364,-210.162,20.762
3.471,-233.454,22.403
3.499,-239.969,22.858
3.584,-260.093,24.257
3.679,-283.764,25.891
3.688,-286.135,26.054
3.768,-307.315,27.503
3.866,-334.469,29.351
3.898,-343.828,29.983
3.978,-367.64,31.588
4.061,-393.425,33.318
4.161,-425.869,35.483
4.188,-435.086,36.094
4.26,-460.004,37.745
4.343,-489.773,39.71
4.388,-506.576,40.815
4.476,-540.155,43.017
4.56,-573.561,45.199
4.599,-589.683,46.249
4.682,-624.609,48.519
4.759,-658.238,50.697
4.86,-703.868,53.644
4.889,-717.551,54.525
4.969,-755.769,56.982
5.08,-810.608,60.498
5.1,-820.949,61.159
5.169,-856.919,63.456
5.269,-910.518,66.872
5.3,-927.802,67.97
5.383,-974.646,70.944
5.467,-1023.595,74.046
5.508,-1048.261,75.605
5.589,-1097.749,78.731
5.675,-1151.894,82.145
5.772,-1214.909,86.11
5.809,-1239.796,87.673
5.903,-1303.859,91.692
5.987,-1363.022,95.398
6.019,-1386.222,96.848
6.089,-1437.533,100.055
6.173,-1500.583,103.99
6.285,-1587.04,109.378
6.314,-1610.263,110.823
6.387,-1669.276,114.492
6.498,-1761.143,120.198
6.526,-1785.145,121.686
6.616,-1862.979,126.51
6.707,-1943.907,131.519
6.727,-1962.196,132.65
6.808,-2036.721,137.256
6.923,-2145.142,143.95
6.946,-2167.577,145.334
7.043,-2262.842,151.206
7.122,-2342.65,156.119
7.149,-2370.554,157.836
7.218,-2442.415,162.255
7.328,-2559.242,169.434
7.358,-2592.098,171.45
7.429,-2670.509,176.261
7.517,-2769.612,182.338
7.591,-2854.969,187.567
7.639,-2911.449,191.025
