Instante(s),Pos_x(m)
0.0,0.0
0.024,0.0
0.047,0.0
0.05,0.0
0.101,0.0
0.117,0.0
0.152,0.0
0.187,0.001
0.202,0.001
0.224,0.001
0.252,0.001
0.257,0.001
0.302,0.002
0.327,0.002
0.351,0.003
0.399,0.003
0.401,0.003
0.425,0.004
0.451,0.004
0.467,0.005
0.501,0.005
0.537,0.006
0.552,0.006
0.601,0.007
0.607,0.008
0.624,0.008
0.651,0.009
0.677,0.01
0.701,0.01
0.747,0.012
0.751,0.012
0.802,0.013
0.817,0.014
0.824,0.014
0.851,0.015
0.887,0.016
0.901,0.017
0.951,0.019
0.957,0.019
1.001,0.021
1.024,0.022
1.027,0.022
1.052,0.023
1.097,0.025
1.101,0.025
1.151,0.027
1.167,0.028
1.201,0.03
1.224,0.031
1.237,0.032
1.251,0.032
1.302,0.035
1.307,0.035
1.352,0.038
1.377,0.039
1.402,0.041
1.424,0.042
1.447,0.043
1.452,0.044
1.502,0.047
1.517,0.048
1.553,0.05
1.587,0.052
1.604,0.053
1.624,0.055
1.653,0.057
1.731,0.062
1.732,0.062
1.732,0.062
1.753,0.064
1.797,0.067
1.803,0.067
1.824,0.069
1.854,0.071
1.867,0.072
1.903,0.075
1.937,0.078
1.953,0.079
2.003,0.083
2.007,0.084
2.025,0.085
2.053,0.087
2.077,0.089
2.104,0.092
2.147,0.096
2.155,0.096
2.206,0.101
2.217,0.102
2.224,0.103
2.255,0.105
2.288,0.109
2.306,0.11
2.354,0.115
2.357,0.115
2.405,0.12
2.43,0.122
2.43,0.122
2.456,0.125
2.497,0.129
2.506,0.13
2.556,0.135
2.567,0.137
2.605,0.141
2.624,0.143
2.637,0.144
2.655,0.146
2.705,0.152
2.707,0.152
2.756,0.158
2.777,0.16
2.807,0.163
2.824,0.165
2.847,0.168
2.857,0.169
2.906,0.175
2.917,0.176
2.956,0.181
2.987,0.185
3.006,0.187
3.024,0.19
3.057,0.194
3.058,0.194
3.106,0.2
3.127,0.203
3.159,0.207
3.197,0.212
3.206,0.213
3.224,0.216
3.256,0.22
3.267,0.221
3.307,0.227
3.338,0.231
3.36,0.234
3.407,0.241
3.407,0.241
3.424,0.243
3.456,0.248
3.477,0.251
3.507,0.255
3.547,0.261
3.556,0.262
3.607,0.27
3.617,0.271
3.624,0.272
3.656,0.277
3.687,0.282
3.706,0.285
3.757,0.293
3.757,0.293
3.807,0.301
3.824,0.303
3.827,0.304
3.857,0.309
3.897,0.315
3.907,0.317
3.957,0.325
3.967,0.326
4.007,0.333
4.024,0.336
4.039,0.338
4.058,0.342
4.109,0.35
4.109,0.35
4.16,0.359
4.177,0.362
4.211,0.368
4.289,0.382
4.289,0.382
4.289,0.382
4.31,0.385
4.317,0.387
4.36,0.394
4.387,0.399
4.414,0.404
4.425,0.406
4.458,0.412
4.51,0.422
4.527,0.425
4.561,0.431
4.597,0.438
4.611,0.441
4.624,0.443
4.661,0.451
4.667,0.452
4.711,0.46
4.737,0.465
4.761,0.47
4.807,0.479
4.812,0.48
4.824,0.483
4.863,0.49
4.877,0.493
4.912,0.5
4.947,0.508
4.962,0.511
5.012,0.521
5.017,0.522
5.024,0.523
5.062,0.531
5.087,0.537
5.113,0.542
5.157,0.552
5.162,0.553
5.212,0.563
5.224,0.566
5.227,0.567
5.262,0.574
5.297,0.582
5.312,0.585
5.363,0.597
5.367,0.597
5.413,0.608
5.424,0.61
