Instante(s),Pos_ang(rad),Pos_x(m),Pos_y(m)
0.101,0.445,0.542,0.258
0.14,0.617,0.489,0.347
0.23,1.013,0.318,0.509
0.29,1.277,0.174,0.574
0.377,1.661,-0.054,0.598
0.42,1.85,-0.165,0.577
0.501,2.207,-0.356,0.483
0.582,2.563,-0.502,0.328
0.639,2.815,-0.568,0.193
0.709,3.123,-0.6,0.011
0.781,3.44,-0.573,-0.176
0.849,3.74,-0.496,-0.338
0.92,4.052,-0.368,-0.474
1.001,4.409,-0.179,-0.573
1.06,4.669,-0.026,-0.599
1.13,4.977,0.157,-0.579
1.199,5.281,0.323,-0.506
1.288,5.673,0.492,-0.344
1.34,5.902,0.557,-0.223
1.41,6.211,0.598,-0.044
1.489,6.558,0.577,0.163
1.55,6.827,0.513,0.311
1.619,7.131,0.397,0.45
1.72,7.576,0.165,0.577
1.759,7.748,0.064,0.597
1.829,8.056,-0.12,0.588
1.9,8.369,-0.295,0.522
1.969,8.673,-0.438,0.41
2.04,8.985,-0.543,0.255
2.11,9.294,-0.595,0.078
2.196,9.673,-0.582,-0.147
2.25,9.91,-0.531,-0.28
2.323,10.232,-0.415,-0.433
2.399,10.567,-0.25,-0.546
2.46,10.835,-0.096,-0.592
2.53,11.144,0.089,-0.593
2.597,11.439,0.257,-0.542
2.663,11.729,0.402,-0.446
2.74,12.069,0.527,-0.286
2.831,12.469,0.597,-0.058
2.926,12.888,0.569,0.19
2.953,13.007,0.543,0.256
3.02,13.302,0.445,0.403
3.117,13.729,0.238,0.551
3.16,13.919,0.13,0.586
3.254,14.333,-0.117,0.589
3.326,14.65,-0.294,0.523
3.37,14.844,-0.389,0.456
3.44,15.152,-0.51,0.317
3.536,15.575,-0.595,0.08
3.579,15.764,-0.599,-0.034
3.65,16.077,-0.56,-0.216
3.719,16.381,-0.469,-0.374
3.846,16.94,-0.199,-0.566
3.866,17.028,-0.149,-0.581
3.946,17.381,0.061,-0.597
4.018,17.698,0.244,-0.548
4.07,17.927,0.362,-0.478
4.183,18.425,0.547,-0.247
4.211,18.548,0.573,-0.178
4.279,18.847,0.6,-0.001
4.35,19.16,0.571,0.183
4.435,19.534,0.465,0.38
4.537,19.984,0.254,0.544
4.561,20.089,0.195,0.567
4.644,20.455,-0.021,0.6
4.762,20.975,-0.316,0.51
4.771,21.014,-0.336,0.497
4.84,21.318,-0.469,0.374
4.936,21.741,-0.581,0.148
4.98,21.935,-0.599,0.034
5.085,22.397,-0.551,-0.237
5.12,22.552,-0.508,-0.319
5.19,22.86,-0.387,-0.458
5.26,23.168,-0.23,-0.554
5.364,23.626,0.039,-0.599
5.401,23.789,0.135,-0.585
5.47,24.093,0.304,-0.517
5.54,24.402,0.447,-0.401
5.682,25.027,0.597,-0.063
5.685,25.04,0.597,-0.055
5.756,25.353,0.586,0.131
5.864,25.829,0.46,0.385
5.891,25.948,0.412,0.437
5.988,26.375,0.194,0.568
6.055,26.67,0.02,0.6
6.099,26.864,-0.096,0.592
6.17,27.176,-0.273,0.534
6.279,27.657,-0.489,0.348
6.352,27.978,-0.574,0.175
6.38,28.101,-0.591,0.103
6.46,28.454,-0.59,-0.107
6.568,28.93,-0.476,-0.366
6.6,29.07,-0.42,-0.429
6.67,29.379,-0.27,-0.536
6.756,29.758,-0.052,-0.598
7.591,33.435,-0.26,0.541
7.604,33.493,-0.291,0.525
7.606,33.502,-0.295,0.522
7.608,33.51,-0.3,0.52
7.62,33.563,-0.327,0.503
7.622,33.572,-0.331,0.5
7.626,33.59,-0.34,0.494
7.628,33.598,-0.345,0.491
7.63,33.607,-0.349,0.488
7.632,33.616,-0.353,0.485
7.636,33.634,-0.362,0.479
7.637,33.638,-0.364,0.477
7.652,33.704,-0.394,0.452
7.748,34.127,-0.545,0.25
7.81,34.4,-0.593,0.094
7.924,34.902,-0.565,-0.203
7.929,34.924,-0.56,-0.215
8.0,35.237,-0.467,-0.377
8.069,35.541,-0.333,-0.499
8.161,35.946,-0.109,-0.59
8.234,36.268,0.083,-0.594
8.32,36.646,0.297,-0.521
8.358,36.814,0.38,-0.464
8.448,37.21,0.53,-0.282
8.527,37.558,0.594,-0.084
8.559,37.699,0.6,-0.0
