Instante(s),Pos_x(m)
0.004,0.0
0.033,0.0
0.055,0.0
0.104,0.0
0.104,0.0
0.155,0.001
0.173,0.001
0.2,0.001
0.204,0.001
0.243,0.002
0.254,0.002
0.304,0.003
0.313,0.003
0.354,0.004
0.384,0.004
0.401,0.005
0.405,0.005
0.453,0.006
0.456,0.006
0.505,0.007
0.524,0.008
0.555,0.009
0.593,0.01
0.6,0.01
0.605,0.01
0.655,0.012
0.663,0.012
0.706,0.014
0.733,0.015
0.756,0.016
0.8,0.017
0.803,0.017
0.805,0.018
0.855,0.02
0.873,0.021
0.905,0.022
0.943,0.024
0.955,0.025
1.0,0.027
1.006,0.027
1.013,0.028
1.056,0.03
1.084,0.031
1.106,0.033
1.153,0.036
1.156,0.036
1.2,0.038
1.206,0.039
1.223,0.04
1.257,0.042
1.293,0.045
1.306,0.045
1.356,0.049
1.363,0.049
1.4,0.052
1.406,0.053
1.433,0.055
1.456,0.056
1.503,0.06
1.506,0.06
1.556,0.064
1.574,0.066
1.601,0.068
1.606,0.068
1.644,0.072
1.656,0.073
1.714,0.078
1.757,0.082
1.783,0.084
1.8,0.086
1.808,0.086
1.853,0.091
1.858,0.091
1.907,0.096
1.923,0.098
1.957,0.101
1.993,0.105
2.0,0.106
2.007,0.106
2.057,0.112
2.063,0.112
2.108,0.117
2.133,0.12
2.159,0.123
2.2,0.128
2.203,0.128
2.208,0.129
2.29,0.138
2.29,0.138
2.308,0.14
2.344,0.145
2.358,0.146
2.4,0.152
2.408,0.153
2.413,0.153
2.458,0.159
2.483,0.162
2.509,0.166
2.553,0.171
2.56,0.172
2.601,0.178
2.61,0.179
2.623,0.181
2.659,0.186
2.693,0.191
2.709,0.193
2.759,0.2
2.763,0.201
2.808,0.207
2.812,0.208
2.834,0.211
2.865,0.216
2.903,0.221
2.96,0.23
2.974,0.232
3.0,0.236
3.011,0.238
3.043,0.243
3.06,0.246
3.11,0.254
3.113,0.254
3.16,0.262
3.185,0.266
3.2,0.269
3.21,0.27
3.253,0.278
3.26,0.279
3.311,0.287
3.323,0.29
3.361,0.296
3.393,0.302
3.4,0.303
3.411,0.305
3.463,0.314
3.463,0.314
3.513,0.323
3.533,0.327
3.563,0.333
3.6,0.34
3.603,0.34
3.612,0.342
3.662,0.351
3.673,0.353
3.713,0.361
3.743,0.367
3.762,0.371
3.8,0.378
3.815,0.381
3.815,0.381
3.864,0.391
3.883,0.395
3.913,0.401
3.955,0.409
3.963,0.411
4.0,0.419
4.013,0.421
4.023,0.423
4.063,0.432
4.093,0.438
4.114,0.443
4.164,0.454
4.164,0.454
4.2,0.461
4.215,0.465
4.233,0.469
4.264,0.475
4.303,0.484
4.314,0.487
4.364,0.498
4.373,0.5
4.4,0.506
4.414,0.509
4.443,0.516
4.465,0.521
4.513,0.532
4.515,0.533
4.568,0.545
4.583,0.549
4.603,0.554
4.653,0.566
4.665,0.569
4.716,0.581
4.723,0.583
4.766,0.594
4.793,0.6
4.8,0.602
4.815,0.606
4.894,0.626
4.895,0.626
4.915,0.631
4.933,0.636
4.966,0.644
5.0,0.653
5.003,0.654
5.017,0.657
5.066,0.67
5.073,0.672
5.116,0.684
5.143,0.691
5.166,0.697
5.2,0.706
5.213,0.71
5.216,0.71
5.267,0.724
5.283,0.729
5.316,0.738
5.353,0.748
5.366,0.752
5.4,0.761
5.416,0.766
5.423,0.768
5.466,0.78
5.493,0.788
5.517,0.794
5.563,0.808
5.567,0.809
5.6,0.818
5.617,0.823
5.633,0.828
5.667,0.838
5.703,0.849
5.768,0.868
5.773,0.87
5.8,0.878
5.818,0.883
5.843,0.891
5.868,0.898
5.913,0.912
5.918,0.914
5.968,0.929
5.983,0.934
6.0,0.939
6.019,0.945
6.053,0.956
6.069,0.961
6.118,0.976
6.123,0.978
6.168,0.992
6.193,1.0
6.2,1.003
6.218,1.008
6.263,1.023
6.268,1.025
6.319,1.041
6.333,1.046
6.368,1.057
6.4,1.068
6.403,1.069
6.418,1.074
6.468,1.091
6.473,1.093
6.518,1.108
6.543,1.116
6.569,1.125
6.604,1.137
6.613,1.14
6.618,1.142
6.668,1.159
6.683,1.164
6.718,1.177
6.754,1.189
6.779,1.198
6.8,1.205
6.819,1.212
6.827,1.215
6.869,1.23
6.893,1.238
6.919,1.248
6.963,1.264
6.97,1.266
7.0,1.277
7.021,1.285
7.033,1.289
7.07,1.303
7.104,1.315
7.12,1.321
7.17,1.34
7.173,1.341
7.2,1.351
7.221,1.359
7.244,1.367
7.272,1.378
7.313,1.393
7.322,1.397
7.371,1.416
7.383,1.42
7.4,1.427
7.457,1.449
7.458,1.449
7.47,1.454
7.521,1.474
7.523,1.474
7.571,1.493
7.593,1.502
7.601,1.505
7.622,1.513
7.664,1.53
7.672,1.533
7.723,1.554
7.733,1.558
7.773,1.574
7.8,1.585
7.803,1.586
7.822,1.594
7.874,1.615
7.874,1.615
7.922,1.635
7.943,1.643
7.972,1.655
8.0,1.667
8.013,1.672
8.022,1.676
8.074,1.698
8.083,1.702
8.124,1.719
8.153,1.731
8.173,1.74
8.2,1.751
8.226,1.762
8.226,1.762
8.275,1.783
8.293,1.791
8.326,1.805
8.363,1.821
8.375,1.826
8.401,1.838
8.425,1.848
8.434,1.852
8.475,1.87
8.503,1.883
8.525,1.892
8.573,1.914
8.576,1.915
8.6,1.926
8.625,1.937
8.643,1.945
8.675,1.959
8.713,1.976
8.725,1.982
8.775,2.005
8.783,2.008
