Instante(s),Pos_y(m)
0.0,4.03
0.069,3.983
0.147,3.871
0.241,3.649
0.279,3.545
0.356,3.276
0.448,2.872
0.489,2.675
0.563,2.267
0.68,1.486
0.746,1.003
0.804,0.546
