Instante(s),PosicaoAngular(graus)
0.0,0.0
0.07,17.617
0.145,36.493
0.24,60.403
0.28,70.47
0.374,94.128
0.419,105.453
0.491,123.574
0.56,140.94
0.657,165.352
0.699,175.923
0.8,201.342
0.865,217.701
0.913,229.782
0.989,248.909
1.078,271.309
1.126,283.389
1.204,303.02
1.268,319.128
1.329,334.48
1.399,352.097
1.497,376.762
1.539,387.332
1.609,404.95
1.679,422.567
1.774,446.477
1.819,457.802
1.889,475.419
1.977,497.567
2.03,510.906
2.104,529.53
2.194,552.181
2.271,571.56
2.309,581.124
2.385,600.252
2.481,624.413
2.519,633.977
2.589,651.594
2.71,682.047
2.739,689.346
2.801,704.95
2.886,726.342
2.939,739.681
3.023,760.822
3.092,778.188
3.177,799.581
3.219,810.151
3.313,833.809
3.381,850.923
3.431,863.507
3.506,882.383
3.591,903.775
3.639,915.856
3.709,933.473
3.781,951.594
3.839,966.191
3.929,988.842
4.009,1008.977
4.096,1030.872
4.129,1039.178
4.211,1059.815
4.294,1080.705
4.34,1092.282
4.424,1113.423
4.539,1142.366
4.561,1147.903
4.628,1164.765
4.705,1184.144
4.819,1212.836
4.829,1215.352
4.909,1235.487
5.003,1259.144
5.039,1268.205
5.114,1287.081
5.215,1312.5
5.249,1321.057
5.321,1339.178
5.432,1367.114
5.459,1373.909
5.539,1394.044
5.617,1413.674
5.659,1424.245
5.766,1451.174
6.631,1668.876
6.635,1669.883
6.637,1670.386
6.639,1670.889
6.64,1671.141
6.643,1671.896
6.645,1672.399
6.647,1672.903
6.648,1673.154
6.65,1673.658
6.652,1674.161
6.654,1674.664
6.668,1678.188
6.743,1697.064
6.814,1714.933
6.891,1734.312
6.986,1758.221
7.017,1766.023
7.079,1781.628
7.152,1800.0
