Instante(s),Pos_y(m)
0.0,4.03
0.081,3.966
0.161,3.839
0.264,3.573
0.284,3.517
0.367,3.218
0.469,2.749
0.497,2.613
0.566,2.23
0.667,1.569
0.7,1.342
0.771,0.806
0.878,-0.116
