Instante(s),Pos_x(m),Pos_y(m)
0.104,0.0,0.0
0.18,0.232,0.203
0.21,0.259,0.287
0.306,0.401,0.406
0.343,0.425,0.46
0.414,0.53,0.49
0.487,0.625,0.467
0.62,0.84,0.173
0.647,0.794,0.134
0.713,0.909,-0.028
0.812,1.067,-0.4
0.841,1.035,-0.497
0.915,1.175,-0.832
0.982,1.253,-1.174
1.079,1.415,-1.791
1.19,1.581,-2.632
1.197,1.441,-2.678
1.282,1.663,-3.378
1.385,1.826,-4.348
1.393,1.679,-4.416
1.479,1.92,-5.291
1.556,2.003,-6.125
1.653,2.168,-7.287
1.673,2.04,-7.516
