Instante(s),Pos_x(m),Pos_y(m)
0.0,0.6,0.0
0.101,0.6,0.267
0.14,0.554,0.37
0.23,0.412,0.59
0.29,0.255,0.725
0.377,-0.029,0.898
0.42,-0.211,0.972
0.501,-0.592,1.095
0.582,-1.048,1.204
0.639,-1.419,1.262
0.709,-1.918,1.316
0.781,-2.489,1.357
0.849,-3.082,1.378
0.92,-3.754,1.382
1.001,-4.585,1.367
1.06,-5.243,1.338
1.13,-6.069,1.287
1.199,-6.938,1.222
1.288,-8.126,1.117
1.34,-8.872,1.038
1.41,-9.915,0.917
1.489,-11.155,0.764
1.55,-12.165,0.63
1.619,-13.355,0.46
1.72,-15.174,0.19
1.759,-15.92,0.072
1.829,-17.288,-0.154
1.9,-18.732,-0.394
1.969,-20.19,-0.644
2.04,-21.744,-0.919
2.11,-23.332,-1.209
2.196,-25.35,-1.586
2.25,-26.668,-1.839
2.323,-28.492,-2.199
2.399,-30.455,-2.589
2.46,-32.081,-2.92
2.53,-33.994,-3.315
2.597,-35.878,-3.709
2.663,-37.782,-4.113
2.74,-40.061,-4.601
2.831,-42.832,-5.202
2.926,-45.82,-5.863
2.953,-46.696,-6.063
3.02,-48.891,-6.568
3.117,-52.143,-7.308
3.16,-53.631,-7.65
3.254,-56.927,-8.419
3.326,-59.529,-9.022
3.37,-61.152,-9.407
3.44,-63.77,-10.029
3.536,-67.436,-10.898
3.579,-69.124,-11.302
3.65,-71.943,-11.984
3.719,-74.739,-12.658
3.846,-79.982,-13.929
3.866,-80.836,-14.139
3.946,-84.267,-14.986
4.018,-87.422,-15.755
4.07,-89.742,-16.325
4.183,-94.847,-17.587
4.211,-96.148,-17.908
4.279,-99.327,-18.698
4.35,-102.701,-19.531
4.435,-106.809,-20.548
4.537,-111.834,-21.801
4.561,-113.042,-22.107
4.644,-117.244,-23.173
4.762,-123.33,-24.702
4.771,-123.806,-24.823
4.84,-127.459,-25.755
4.936,-132.619,-27.055
4.98,-135.031,-27.666
5.085,-140.836,-29.146
5.12,-142.813,-29.648
5.19,-146.793,-30.665
5.26,-150.829,-31.69
5.364,-156.905,-33.24
5.401,-159.11,-33.805
5.47,-163.248,-34.872
5.54,-167.501,-35.964
5.682,-176.239,-38.215
5.685,-176.429,-38.264
5.756,-180.912,-39.427
5.864,-187.82,-41.197
5.891,-189.579,-41.651
5.988,-195.927,-43.293
6.055,-200.387,-44.437
6.099,-203.347,-45.202
6.17,-208.158,-46.449
6.279,-215.632,-48.379
6.352,-220.726,-49.702
6.38,-222.701,-50.22
6.46,-228.368,-51.71
6.568,-236.119,-53.734
6.6,-238.453,-54.347
6.67,-243.582,-55.702
6.756,-249.953,-57.377
7.591,-312.606,-73.894
7.604,-313.699,-74.199
7.606,-313.865,-74.247
7.608,-314.031,-74.295
7.62,-315.03,-74.584
7.622,-315.197,-74.632
7.626,-315.53,-74.728
7.628,-315.697,-74.776
7.63,-315.864,-74.824
7.632,-316.031,-74.872
7.636,-316.365,-74.968
7.637,-316.449,-74.992
7.652,-317.702,-75.353
7.748,-325.742,-77.659
7.81,-331.003,-79.153
7.924,-340.751,-81.935
7.929,-341.185,-82.059
8.0,-347.351,-83.82
8.069,-353.4,-85.532
8.161,-361.536,-87.838
8.234,-368.066,-89.692
8.32,-375.827,-91.905
8.358,-379.292,-92.895
8.448,-387.535,-95.256
8.527,-394.853,-97.341
8.559,-397.844,-98.198
