Instante(s),Pos_x(m),Pos_y(m)
0.0,0,0
0.104,0.124,0.432
0.18,0.215,0.692
0.21,0.251,0.785
0.306,0.366,0.994
0.343,0.41,1.061
0.414,0.495,1.141
0.487,0.582,1.17
0.62,0.741,1.05
0.647,0.773,1.018
0.713,0.852,0.899
0.812,0.971,0.623
0.841,1.005,0.534
0.915,1.094,0.253
0.982,1.174,-0.045
1.079,1.29,-0.569
1.19,1.423,-1.29
1.197,1.431,-1.336
1.282,1.533,-1.965
1.385,1.656,-2.83
1.393,1.665,-2.898
1.479,1.768,-3.7
1.556,1.86,-4.476
1.653,1.976,-5.547
1.673,2.0,-5.771
