Instante(s),Pos_x(m),Pos_y(m)
0.0,0.0,0.0
0.07,0.083,0.315
0.167,0.199,0.66
0.2,0.238,0.766
0.281,0.335,0.964
0.352,0.419,1.087
0.412,0.49,1.156
0.492,0.586,1.185
0.56,0.667,1.165
0.683,0.813,0.979
0.711,0.846,0.929
0.761,0.906,0.816
0.864,1.029,0.478
0.91,1.083,0.306
0.98,1.167,-0.004
1.094,1.302,-0.635
1.12,1.333,-0.786
1.19,1.417,-1.239
1.25,1.488,-1.663
1.33,1.583,-2.291
1.402,1.669,-2.908
1.476,1.757,-3.595
1.539,1.832,-4.219
1.61,1.917,-4.971
1.68,2.0,-5.761
