Instante(s),Pos_ang(rad),Pos_x(m),Pos_y(m)
0.0,0.0,0.6,0.0
0.08,0.523,0.52,0.3
0.167,1.091,0.277,0.532
0.228,1.49,0.049,0.598
0.29,1.895,-0.191,0.569
0.36,2.352,-0.423,0.426
0.444,2.901,-0.583,0.143
0.536,3.502,-0.561,-0.212
0.57,3.724,-0.501,-0.33
0.65,4.247,-0.269,-0.536
0.751,4.907,0.116,-0.589
0.791,5.168,0.264,-0.539
0.86,5.619,0.472,-0.37
0.935,6.109,0.591,-0.104
1.071,6.998,0.453,0.393
1.074,7.017,0.446,0.402
1.145,7.481,0.219,0.559
1.21,7.906,-0.031,0.599
1.28,8.363,-0.292,0.524
1.368,8.938,-0.53,0.281
1.446,9.448,-0.6,-0.014
1.491,9.742,-0.57,-0.187
1.566,10.232,-0.415,-0.433
1.66,10.846,-0.09,-0.593
1.701,11.114,0.071,-0.596
1.774,11.591,0.336,-0.497
1.851,12.094,0.534,-0.273
1.954,12.767,0.588,0.119
2.796,18.268,0.501,-0.33
2.798,18.281,0.506,-0.323
2.8,18.294,0.51,-0.316
2.801,18.301,0.512,-0.313
2.803,18.314,0.516,-0.306
2.815,18.392,0.538,-0.265
2.817,18.405,0.542,-0.258
2.82,18.425,0.547,-0.247
2.822,18.438,0.55,-0.24
2.824,18.451,0.553,-0.233
2.826,18.464,0.556,-0.226
2.828,18.477,0.559,-0.218
2.83,18.49,0.562,-0.211
2.909,19.006,0.593,0.094
2.992,19.549,0.459,0.386
3.067,20.039,0.223,0.557
3.132,20.463,-0.026,0.599
3.223,21.058,-0.357,0.482
3.258,21.287,-0.457,0.389
3.34,21.822,-0.591,0.101
3.407,22.26,-0.578,-0.159
3.451,22.548,-0.509,-0.317
3.55,23.194,-0.216,-0.56
3.62,23.652,0.054,-0.598
3.66,23.913,0.206,-0.563
3.734,24.397,0.445,-0.403
3.845,25.122,0.6,-0.007
3.923,25.631,0.527,0.287
3.951,25.814,0.466,0.378
4.024,26.291,0.24,0.55
4.146,27.088,-0.225,0.556
4.166,27.219,-0.296,0.522
4.235,27.67,-0.494,0.341
4.347,28.402,-0.595,-0.076
4.37,28.552,-0.577,-0.164
4.44,29.009,-0.445,-0.402
4.53,29.597,-0.147,-0.582
4.649,30.375,0.303,-0.518
4.651,30.388,0.31,-0.514
4.733,30.924,0.529,-0.284
4.843,31.642,0.585,0.135
4.863,31.773,0.562,0.21
4.945,32.309,0.376,0.467
5.025,32.832,0.093,0.593
5.07,33.126,-0.083,0.594
5.158,33.701,-0.393,0.454
5.237,34.217,-0.565,0.201
5.327,34.805,-0.582,-0.147
5.358,35.007,-0.54,-0.261
5.438,35.53,-0.338,-0.496
5.527,36.111,-0.01,-0.6
5.56,36.327,0.118,-0.588
5.682,37.124,0.504,-0.326
5.706,37.281,0.548,-0.244
5.77,37.699,0.6,0.0
