Instante(s),Pos_x(m)
0.0,0.0
0.001,0.0
0.001,0.0
0.001,0.0
0.037,0.0
0.053,0.0
0.124,0.0
0.137,0.001
0.188,0.001
0.193,0.001
0.201,0.001
0.238,0.002
0.264,0.002
0.288,0.003
0.334,0.004
0.34,0.004
0.387,0.005
0.401,0.005
0.403,0.005
0.438,0.006
0.473,0.007
0.489,0.008
0.539,0.009
0.543,0.009
0.589,0.011
0.601,0.011
0.613,0.012
0.639,0.013
0.684,0.015
0.688,0.015
0.738,0.017
0.753,0.018
0.788,0.02
0.87,0.024
0.87,0.024
0.871,0.024
0.889,0.025
0.893,0.025
0.94,0.028
0.964,0.029
0.99,0.031
1.001,0.032
1.033,0.034
1.04,0.034
1.09,0.038
1.104,0.039
1.139,0.041
1.174,0.044
1.189,0.045
1.201,0.046
1.239,0.049
1.244,0.049
1.29,0.053
1.313,0.055
1.341,0.057
1.384,0.061
1.391,0.061
1.401,0.062
1.441,0.066
1.454,0.067
1.49,0.07
1.524,0.073
1.54,0.075
1.59,0.08
1.594,0.08
1.601,0.081
1.641,0.085
1.664,0.088
1.692,0.091
1.733,0.095
1.742,0.096
1.792,0.102
1.801,0.103
1.803,0.103
1.841,0.107
1.874,0.111
1.891,0.113
1.941,0.119
1.944,0.12
1.992,0.126
2.001,0.127
2.014,0.128
2.043,0.132
2.084,0.137
2.093,0.139
2.143,0.145
2.154,0.147
2.193,0.152
2.201,0.153
2.223,0.156
2.242,0.159
2.297,0.167
2.297,0.167
2.343,0.174
2.363,0.177
2.393,0.181
2.401,0.182
2.433,0.187
2.444,0.189
2.494,0.197
2.555,0.206
2.556,0.207
2.573,0.209
2.595,0.213
2.601,0.214
2.643,0.221
2.646,0.221
2.696,0.23
2.713,0.233
2.747,0.239
2.783,0.245
2.796,0.247
2.803,0.248
2.846,0.256
2.854,0.258
2.896,0.265
2.924,0.27
2.946,0.275
2.994,0.284
2.996,0.284
3.001,0.285
3.045,0.293
3.064,0.297
3.134,0.311
3.146,0.313
3.196,0.323
3.201,0.324
3.203,0.324
3.246,0.333
3.274,0.339
3.296,0.344
3.344,0.354
3.406,0.367
3.406,0.367
3.407,0.367
3.413,0.368
3.445,0.375
3.484,0.384
3.496,0.387
3.547,0.398
3.554,0.399
3.597,0.409
3.601,0.41
3.624,0.415
3.647,0.421
3.694,0.432
3.697,0.432
3.746,0.444
3.763,0.448
3.796,0.456
3.801,0.457
3.834,0.465
3.846,0.468
3.897,0.48
3.904,0.482
3.948,0.493
3.974,0.499
3.998,0.506
4.001,0.506
4.044,0.517
4.048,0.518
4.097,0.531
4.114,0.535
4.147,0.544
4.184,0.554
4.197,0.557
4.201,0.558
4.248,0.571
4.254,0.572
4.299,0.585
4.324,0.591
4.349,0.598
4.394,0.611
4.399,0.612
4.402,0.613
4.449,0.626
4.464,0.63
4.498,0.64
4.534,0.65
4.548,0.654
4.6,0.669
4.603,0.67
4.603,0.67
4.65,0.684
4.674,0.691
4.7,0.699
4.744,0.712
4.749,0.713
4.8,0.729
4.803,0.73
4.813,0.733
4.85,0.744
4.884,0.754
4.9,0.759
4.949,0.775
4.954,0.776
5.0,0.791
5.003,0.792
5.024,0.798
5.05,0.807
5.132,0.833
5.133,0.833
5.149,0.839
5.163,0.843
5.2,0.855
5.203,0.856
5.233,0.866
5.25,0.872
5.3,0.888
5.304,0.89
5.35,0.905
5.374,0.913
5.4,0.922
5.403,0.923
5.444,0.937
5.45,0.939
5.5,0.957
5.513,0.961
5.55,0.974
5.584,0.986
5.6,0.992
5.603,0.993
5.65,1.01
5.654,1.011
5.701,1.028
5.723,1.036
5.751,1.046
5.793,1.061
5.802,1.065
5.803,1.065
5.85,1.082
5.864,1.088
5.9,1.101
5.986,1.133
5.986,1.133
6.001,1.139
6.002,1.139
6.004,1.14
6.053,1.159
6.074,1.167
6.144,1.194
6.153,1.197
6.201,1.216
6.204,1.217
6.214,1.221
6.253,1.237
6.284,1.249
6.303,1.257
6.353,1.277
6.353,1.277
6.401,1.296
6.404,1.297
6.423,1.305
6.453,1.317
6.494,1.334
6.502,1.337
6.553,1.358
6.563,1.362
6.601,1.378
6.603,1.379
6.633,1.392
6.653,1.4
6.703,1.421
6.703,1.421
6.753,1.442
6.773,1.451
6.801,1.463
6.803,1.464
6.844,1.481
6.853,1.485
6.902,1.507
6.913,1.512
6.952,1.529
6.983,1.542
7.001,1.55
7.004,1.552
7.053,1.573
7.054,1.574
7.103,1.596
7.124,1.605
7.153,1.618
7.194,1.637
7.201,1.64
7.203,1.641
7.253,1.664
7.263,1.668
7.303,1.687
7.334,1.701
7.353,1.71
7.401,1.732
7.404,1.734
7.405,1.734
7.453,1.757
7.474,1.767
7.505,1.781
7.544,1.8
7.553,1.804
7.601,1.827
7.603,1.828
7.613,1.833
7.674,1.863
7.683,1.867
7.704,1.877
7.753,1.901
7.754,1.902
7.801,1.925
7.804,1.926
7.823,1.936
7.853,1.951
7.894,1.971
7.903,1.975
7.952,2.0
