Instante(s),Pos_y(m)
0.029,4.03
0.109,3.882
0.23,3.465
0.233,3.458
0.323,3.094
0.438,2.47
0.44,2.461
0.568,1.588
0.601,1.383
0.688,0.721
0.779,-0.055
0.868,-0.89
0.87,-0.907
0.973,-1.994
1.004,-2.309
1.09,-3.301
