Instante(s),Pos_x(m),Pos_y(m)
0.0,0.6,0.0
0.07,0.572,0.182
0.145,0.482,0.357
0.24,0.296,0.522
0.28,0.201,0.565
0.374,-0.043,0.598
0.419,-0.16,0.578
0.491,-0.332,0.5
0.56,-0.466,0.378
0.657,-0.58,0.152
0.699,-0.598,0.043
0.8,-0.559,-0.218
0.865,-0.475,-0.367
0.913,-0.387,-0.458
0.989,-0.216,-0.56
1.078,0.014,-0.6
1.126,0.139,-0.584
1.204,0.327,-0.503
1.268,0.454,-0.393
1.329,0.541,-0.258
1.399,0.594,-0.082
1.497,0.575,0.173
1.539,0.533,0.275
1.609,0.425,0.424
1.679,0.276,0.533
1.774,0.037,0.599
1.819,-0.081,0.594
1.889,-0.258,0.542
1.977,-0.443,0.405
2.03,-0.524,0.292
2.104,-0.59,0.109
2.194,-0.586,-0.127
2.271,-0.511,-0.314
2.309,-0.452,-0.395
2.385,-0.298,-0.521
2.481,-0.058,-0.597
2.519,0.042,-0.599
2.589,0.221,-0.558
2.71,0.473,-0.369
2.739,0.516,-0.306
2.801,0.579,-0.156
2.886,0.596,0.066
2.939,0.565,0.202
3.023,0.454,0.392
3.092,0.316,0.51
3.177,0.109,0.59
3.219,-0.002,0.6
3.313,-0.242,0.549
3.381,-0.393,0.453
3.431,-0.482,0.357
3.506,-0.572,0.182
3.591,-0.599,-0.04
3.639,-0.577,-0.164
3.709,-0.5,-0.331
3.781,-0.373,-0.47
3.839,-0.242,-0.549
3.929,-0.012,-0.6
4.009,0.195,-0.567
4.096,0.393,-0.454
4.129,0.454,-0.392
4.211,0.563,-0.207
4.294,0.6,0.007
4.34,0.586,0.128
4.424,0.501,0.33
4.539,0.278,0.532
4.561,0.226,0.556
4.628,0.055,0.597
4.705,-0.147,0.582
4.819,-0.408,0.44
4.829,-0.427,0.422
4.909,-0.546,0.249
5.003,-0.6,0.009
5.039,-0.594,-0.086
5.114,-0.534,-0.273
5.215,-0.365,-0.476
5.249,-0.29,-0.525
5.321,-0.113,-0.589
5.432,0.177,-0.573
5.459,0.243,-0.549
5.539,0.417,-0.431
5.617,0.538,-0.266
5.659,0.577,-0.163
5.766,0.589,0.116
6.631,-0.395,-0.452
6.635,-0.387,-0.459
6.637,-0.383,-0.462
6.639,-0.378,-0.466
6.64,-0.376,-0.467
6.643,-0.37,-0.472
6.645,-0.366,-0.475
6.647,-0.362,-0.479
6.648,-0.36,-0.48
6.65,-0.356,-0.483
6.652,-0.351,-0.486
6.654,-0.347,-0.489
6.668,-0.316,-0.51
6.743,-0.134,-0.585
6.814,0.052,-0.598
6.891,0.247,-0.547
6.986,0.447,-0.4
7.017,0.498,-0.335
7.079,0.569,-0.189
7.152,0.6,0.0
