Instante(s),Pos_y(m)
0.081,4.03
0.161,3.841
0.264,3.47
0.284,3.411
0.367,3.044
0.469,2.473
0.497,2.329
0.566,1.899
0.667,1.139
0.7,0.901
0.771,0.315
0.878,-0.718
