Instante(s),Pos_x(m),Pos_y(m)
0.0,0.6,0.0
0.07,-0.454,-0.392
0.141,-0.105,0.591
0.223,-0.599,-0.041
0.271,0.598,-0.044
0.351,0.443,0.405
0.446,0.595,0.081
0.491,-0.335,0.498
0.561,0.579,-0.158
0.631,-0.542,-0.258
0.734,0.456,-0.39
0.761,-0.117,0.589
0.841,-0.508,0.32
0.9,-0.577,0.164
0.971,0.435,0.413
1.051,-0.001,0.6
1.144,0.57,0.188
1.19,-0.535,0.272
1.27,-0.565,-0.202
1.345,-0.536,0.269
1.4,-0.056,0.597
1.481,-0.566,0.2
1.569,0.598,-0.044
1.636,-0.567,0.197
1.691,-0.134,0.585
1.761,0.483,-0.356
1.851,-0.577,-0.166
1.901,0.423,0.426
1.981,-0.018,0.6
2.047,-0.316,-0.51
2.152,0.523,0.294
2.18,-0.591,-0.101
2.26,-0.333,-0.499
2.356,-0.458,-0.387
2.391,-0.522,0.295
2.463,0.398,0.449
2.566,-0.572,0.181
2.601,-0.03,0.599
2.67,0.254,-0.544
2.762,-0.545,-0.25
2.812,0.355,0.484
2.88,-0.324,-0.505
2.952,-0.426,0.422
3.056,-0.022,-0.6
3.091,-0.57,-0.188
3.167,-0.592,0.099
3.263,-0.541,0.259
3.301,-0.463,0.381
3.37,0.573,-0.178
3.471,0.304,0.517
3.511,0.075,0.595
3.581,0.332,-0.5
3.662,0.593,0.092
3.72,0.596,0.069
3.791,-0.245,-0.548
3.874,0.587,-0.122
3.97,0.531,-0.28
4.002,-0.535,-0.271
4.07,0.517,0.304
4.174,-0.574,0.175
4.21,-0.224,0.556
4.305,0.132,0.585
4.377,0.545,-0.251
4.42,0.35,0.487
4.49,0.053,-0.598
4.587,0.079,-0.595
4.632,0.499,0.333
4.701,-0.336,-0.497
4.782,0.31,-0.514
4.831,-0.399,0.448
4.926,-0.073,0.596
5.017,0.587,-0.125
5.051,-0.106,-0.59
5.154,0.583,0.143
5.191,0.568,-0.192
5.315,-0.349,0.488
5.356,-0.586,0.131
5.404,0.562,-0.211
5.494,-0.51,-0.316
5.6,0.558,0.22
5.61,-0.533,-0.276
5.712,0.325,-0.505
5.802,-0.598,0.051
5.822,-0.596,-0.071
5.89,0.59,0.109
5.962,-0.017,-0.6
6.056,-0.491,-0.345
6.12,0.488,-0.349
6.222,0.302,0.518
6.247,-0.578,0.162
6.331,0.158,-0.579
6.381,-0.42,0.429
6.45,0.551,-0.239
6.551,0.358,0.482
6.581,-0.197,-0.567
6.66,0.093,-0.593
