Instante(s),Pos_y(m)
0.002,4.03
0.053,3.978
0.16,3.698
0.292,3.149
0.297,3.134
0.381,2.751
0.395,2.695
0.494,2.119
0.63,1.098
0.632,1.085
0.788,-0.359
0.817,-0.6
0.819,-0.616
0.961,-2.152
