Instante(s),Pos_y(m)
0.0,4.03
0.002,4.03
0.053,4.003
0.16,3.836
0.292,3.458
0.297,3.443
0.381,3.129
0.395,3.075
0.494,2.595
0.63,1.755
0.632,1.743
0.788,0.537
0.817,0.305
0.819,0.289
0.961,-1.049
