Instante(s),Pos_x(m)
0.0,0.0
0.043,0.0
0.051,0.0
0.073,0.0
0.102,0.0
0.143,0.0
0.153,0.0
0.206,0.001
0.21,0.001
0.245,0.001
0.254,0.001
0.282,0.001
0.356,0.002
0.357,0.002
0.405,0.003
0.423,0.003
0.439,0.003
0.459,0.004
0.493,0.004
0.511,0.005
0.562,0.006
0.614,0.007
0.632,0.007
0.646,0.008
0.663,0.008
0.703,0.009
0.715,0.009
0.765,0.011
0.771,0.011
0.819,0.012
0.842,0.013
0.842,0.013
0.871,0.014
0.914,0.016
0.973,0.018
0.981,0.018
1.024,0.02
1.046,0.021
1.052,0.021
1.076,0.022
1.124,0.024
1.178,0.026
1.192,0.027
1.23,0.029
1.245,0.029
1.263,0.03
1.281,0.031
1.332,0.034
1.332,0.034
1.384,0.036
1.403,0.037
1.485,0.042
1.485,0.042
1.485,0.042
1.536,0.045
1.542,0.045
1.588,0.048
1.613,0.05
1.639,0.051
1.68,0.054
1.686,0.054
1.74,0.058
1.753,0.059
1.79,0.061
1.82,0.063
1.848,0.065
1.85,0.065
1.895,0.069
1.948,0.073
1.963,0.074
1.999,0.077
2.032,0.079
2.042,0.08
2.05,0.081
2.102,0.085
2.149,0.089
2.172,0.091
2.201,0.093
2.242,0.097
2.242,0.097
2.252,0.097
2.303,0.102
2.312,0.103
2.356,0.107
2.419,0.112
2.438,0.114
2.453,0.116
2.455,0.116
2.506,0.121
2.523,0.122
2.558,0.126
2.593,0.129
2.607,0.131
2.641,0.134
2.657,0.136
2.662,0.136
2.71,0.141
2.733,0.144
2.759,0.147
2.802,0.151
2.811,0.152
2.847,0.156
2.863,0.158
2.872,0.159
2.915,0.164
2.943,0.167
2.966,0.17
3.014,0.175
3.017,0.176
3.047,0.179
3.068,0.182
3.083,0.184
3.119,0.188
3.154,0.192
3.169,0.194
3.225,0.201
3.225,0.201
3.239,0.203
3.275,0.207
3.293,0.21
3.327,0.214
3.362,0.218
3.376,0.22
3.426,0.227
3.432,0.228
3.445,0.229
3.482,0.234
3.503,0.237
3.573,0.247
3.584,0.248
3.639,0.256
3.64,0.256
3.687,0.263
3.713,0.267
3.738,0.27
3.781,0.277
3.789,0.278
