Instante(s),Pos_x(m)
0.043,0.0
0.051,0.0
0.073,0.0
0.102,0.0
0.143,0.0
0.153,0.001
0.206,0.001
0.21,0.001
0.245,0.001
0.254,0.001
0.282,0.002
0.356,0.003
0.357,0.003
0.405,0.004
0.423,0.004
0.439,0.004
0.459,0.004
0.493,0.005
0.511,0.006
0.562,0.007
0.614,0.008
0.632,0.008
0.646,0.009
0.663,0.009
0.703,0.01
0.715,0.011
0.765,0.012
0.771,0.012
0.819,0.014
0.842,0.015
0.842,0.015
0.871,0.016
0.914,0.017
0.973,0.019
0.981,0.02
1.024,0.021
1.046,0.022
1.052,0.022
1.076,0.023
1.124,0.026
1.178,0.028
1.192,0.029
1.23,0.031
1.245,0.031
1.263,0.032
1.281,0.033
1.332,0.036
1.332,0.036
1.384,0.039
1.403,0.04
1.485,0.044
1.485,0.044
1.485,0.044
1.536,0.047
1.542,0.048
1.588,0.051
1.613,0.052
1.639,0.054
1.68,0.057
1.686,0.057
1.74,0.061
1.753,0.062
1.79,0.064
1.82,0.066
1.848,0.068
1.85,0.068
1.895,0.072
1.948,0.076
1.963,0.077
1.999,0.08
2.032,0.082
2.042,0.083
2.05,0.084
2.102,0.088
2.149,0.092
2.172,0.094
2.201,0.097
2.242,0.1
2.242,0.1
2.252,0.101
2.303,0.106
2.312,0.106
2.356,0.11
2.419,0.116
2.438,0.118
2.453,0.12
2.455,0.12
2.506,0.125
2.523,0.127
2.558,0.13
2.593,0.134
2.607,0.135
2.641,0.139
2.657,0.14
2.662,0.141
2.71,0.146
2.733,0.148
2.759,0.151
2.802,0.156
2.811,0.157
2.847,0.161
2.863,0.163
2.872,0.164
2.915,0.168
2.943,0.172
2.966,0.174
3.014,0.18
3.017,0.18
3.047,0.184
3.068,0.186
3.083,0.188
3.119,0.193
3.154,0.197
3.169,0.199
3.225,0.206
3.225,0.206
3.239,0.208
3.275,0.212
3.293,0.215
3.327,0.219
3.362,0.224
3.376,0.226
3.426,0.232
3.432,0.233
3.445,0.235
3.482,0.24
3.503,0.243
3.573,0.252
3.584,0.254
3.639,0.262
3.64,0.262
3.687,0.269
3.713,0.273
3.738,0.276
3.781,0.283
3.789,0.284
3.838,0.291
3.853,0.293
3.888,0.299
3.92,0.304
3.987,0.314
3.992,0.315
4.048,0.324
4.049,0.324
4.062,0.326
4.133,0.337
4.142,0.339
4.195,0.348
4.202,0.349
4.242,0.355
4.306,0.366
4.307,0.366
4.346,0.373
4.346,0.373
4.397,0.382
4.411,0.384
4.441,0.389
4.448,0.391
4.483,0.397
4.546,0.408
4.552,0.409
4.601,0.418
4.623,0.422
4.643,0.425
4.693,0.435
4.701,0.436
4.754,0.446
4.762,0.447
4.805,0.455
4.832,0.461
4.846,0.463
4.856,0.465
4.904,0.474
4.907,0.475
4.956,0.484
4.973,0.488
5.01,0.495
5.042,0.501
5.043,0.501
5.062,0.505
5.116,0.516
5.116,0.516
5.182,0.529
5.27,0.548
5.27,0.548
5.27,0.548
5.27,0.548
5.314,0.557
5.321,0.558
5.365,0.567
5.393,0.573
5.415,0.578
5.445,0.584
5.464,0.588
5.465,0.589
5.519,0.6
5.533,0.603
5.571,0.612
5.603,0.619
5.621,0.623
5.646,0.628
5.673,0.634
5.673,0.634
5.726,0.646
5.743,0.65
5.775,0.657
5.814,0.666
5.824,0.668
5.845,0.673
5.877,0.68
5.88,0.681
5.932,0.693
5.953,0.698
5.981,0.705
6.024,0.715
6.031,0.716
6.045,0.72
6.086,0.729
6.092,0.731
6.138,0.742
6.163,0.748
6.188,0.754
6.232,0.765
6.238,0.766
6.289,0.779
6.303,0.782
6.342,0.792
6.373,0.8
6.443,0.817
6.444,0.817
6.444,0.817
6.512,0.835
6.545,0.843
6.583,0.853
6.642,0.868
6.644,0.869
6.652,0.871
6.695,0.882
6.723,0.89
6.746,0.896
6.793,0.908
6.838,0.92
6.842,0.921
6.862,0.927
6.896,0.936
6.932,0.945
6.947,0.95
6.997,0.963
7.002,0.965
7.042,0.976
7.126,0.999
7.127,0.999
7.141,1.003
7.148,1.005
7.2,1.02
7.213,1.024
7.243,1.032
7.249,1.034
7.284,1.044
7.298,1.048
7.348,1.062
7.351,1.063
7.403,1.078
7.423,1.084
7.446,1.09
7.454,1.093
7.494,1.105
7.505,1.108
7.557,1.123
7.562,1.125
7.608,1.138
7.632,1.145
7.638,1.147
7.657,1.153
7.702,1.167
7.707,1.168
7.758,1.184
7.772,1.188
7.81,1.199
7.84,1.209
7.84,1.209
7.914,1.231
7.915,1.232
7.98,1.252
8.014,1.263
8.045,1.273
8.052,1.275
8.117,1.295
8.122,1.297
8.17,1.312
8.192,1.319
8.222,1.329
8.239,1.334
8.263,1.342
8.274,1.346
8.325,1.362
8.332,1.365
8.375,1.379
8.403,1.388
8.427,1.396
8.439,1.4
8.471,1.41
8.478,1.413
8.529,1.43
8.541,1.434
8.583,1.448
8.613,1.458
8.632,1.464
8.645,1.469
8.684,1.482
8.685,1.482
8.739,1.501
8.752,1.505
8.789,1.518
8.823,1.53
8.842,1.536
8.888,1.552
8.891,1.553
8.941,1.571
8.963,1.579
8.992,1.589
9.032,1.603
9.038,1.605
9.095,1.625
9.102,1.628
9.147,1.644
9.173,1.653
9.197,1.662
9.239,1.677
9.24,1.677
9.295,1.697
9.312,1.704
9.35,1.718
9.384,1.73
9.4,1.736
9.442,1.751
9.451,1.755
9.503,1.774
9.523,1.781
9.555,1.793
9.59,1.807
9.605,1.812
9.647,1.828
9.656,1.831
9.662,1.834
9.707,1.851
9.733,1.861
9.801,1.887
9.806,1.889
9.845,1.904
9.928,1.936
9.928,1.936
9.942,1.941
9.956,1.947
10.007,1.967
10.012,1.969
10.043,1.981
