Instante(s),Pos_x(m)
0.0,0.0
0.001,0.0
0.001,0.0
0.001,0.0
0.037,0.0
0.053,0.0
0.124,0.0
0.137,0.0
0.188,0.001
0.193,0.001
0.201,0.001
0.238,0.001
0.264,0.002
0.288,0.002
0.334,0.003
0.34,0.003
0.387,0.004
0.401,0.005
0.403,0.005
0.438,0.006
0.473,0.006
0.489,0.007
0.539,0.008
0.543,0.009
0.589,0.01
0.601,0.011
0.613,0.011
0.639,0.012
0.684,0.014
0.688,0.014
0.738,0.016
0.753,0.017
0.788,0.019
0.87,0.023
0.87,0.023
0.871,0.023
0.889,0.024
0.893,0.024
0.94,0.027
0.964,0.028
0.99,0.03
1.001,0.03
1.033,0.032
1.04,0.033
1.09,0.036
1.104,0.037
1.139,0.04
1.174,0.042
1.189,0.043
1.201,0.044
1.239,0.047
1.244,0.047
1.29,0.051
1.313,0.053
1.341,0.055
1.384,0.059
1.391,0.059
1.401,0.06
1.441,0.064
1.454,0.065
1.49,0.068
1.524,0.072
1.54,0.073
1.59,0.078
1.594,0.078
1.601,0.079
1.641,0.083
1.664,0.086
1.692,0.088
1.733,0.093
1.742,0.094
1.792,0.099
1.801,0.1
1.803,0.101
1.841,0.105
1.874,0.109
1.891,0.111
1.941,0.117
1.944,0.117
1.992,0.123
2.001,0.124
2.014,0.126
2.043,0.13
2.084,0.135
2.093,0.136
2.143,0.143
2.154,0.144
2.193,0.149
2.201,0.151
2.223,0.154
2.242,0.156
2.297,0.164
2.297,0.164
2.343,0.171
2.363,0.174
2.393,0.178
2.401,0.179
2.433,0.184
2.444,0.186
2.494,0.194
2.555,0.203
2.556,0.204
2.573,0.206
2.595,0.21
2.601,0.211
2.643,0.218
2.646,0.218
2.696,0.227
2.713,0.23
2.747,0.235
2.783,0.242
2.796,0.244
2.803,0.245
2.846,0.253
2.854,0.254
2.896,0.262
2.924,0.267
2.946,0.271
2.994,0.28
2.996,0.28
3.001,0.281
3.045,0.29
3.064,0.293
3.134,0.307
3.146,0.309
3.196,0.319
3.201,0.32
3.203,0.321
3.246,0.329
3.274,0.335
3.296,0.34
3.344,0.35
3.406,0.363
3.406,0.363
3.407,0.363
3.413,0.364
3.445,0.371
3.484,0.38
3.496,0.382
3.547,0.394
3.554,0.395
3.597,0.405
3.601,0.406
3.624,0.411
3.647,0.416
3.694,0.427
3.697,0.428
3.746,0.439
3.763,0.443
3.796,0.451
3.801,0.452
3.834,0.46
3.846,0.463
3.897,0.476
3.904,0.477
3.948,0.488
3.974,0.495
3.998,0.501
4.001,0.501
4.044,0.512
4.048,0.513
4.097,0.526
4.114,0.53
4.147,0.539
4.184,0.549
4.197,0.552
4.201,0.553
4.248,0.566
4.254,0.567
4.299,0.579
4.324,0.586
4.349,0.593
4.394,0.605
4.399,0.607
4.402,0.608
4.449,0.621
4.464,0.625
4.498,0.634
4.534,0.645
4.548,0.649
4.6,0.664
4.603,0.665
4.603,0.665
4.65,0.678
4.674,0.685
4.7,0.693
4.744,0.706
4.749,0.708
4.8,0.723
4.803,0.724
4.813,0.727
4.85,0.738
4.884,0.749
4.9,0.753
4.949,0.769
4.954,0.77
5.0,0.785
5.003,0.786
5.024,0.792
5.05,0.8
5.132,0.827
5.133,0.827
5.149,0.832
5.163,0.837
5.2,0.849
5.203,0.85
5.233,0.86
5.25,0.865
5.3,0.882
5.304,0.883
5.35,0.899
5.374,0.907
5.4,0.916
5.403,0.917
5.444,0.931
5.45,0.933
5.5,0.95
5.513,0.955
5.55,0.967
5.584,0.979
5.6,0.985
5.603,0.986
5.65,1.003
5.654,1.004
5.701,1.021
5.723,1.029
5.751,1.039
5.793,1.054
5.802,1.058
5.803,1.058
5.85,1.075
5.864,1.08
5.9,1.094
5.986,1.126
5.986,1.126
6.001,1.132
6.002,1.132
6.004,1.133
6.053,1.151
6.074,1.159
6.144,1.186
6.153,1.19
6.201,1.208
6.204,1.21
6.214,1.214
6.253,1.229
6.284,1.241
6.303,1.249
6.353,1.269
6.353,1.269
6.401,1.288
6.404,1.289
6.423,1.297
6.453,1.309
6.494,1.326
6.502,1.329
6.553,1.35
6.563,1.354
6.601,1.37
6.603,1.371
6.633,1.383
6.653,1.392
6.703,1.413
6.703,1.413
6.753,1.434
6.773,1.442
6.801,1.454
6.803,1.455
6.844,1.473
6.853,1.477
6.902,1.498
6.913,1.503
6.952,1.52
6.983,1.534
7.001,1.542
7.004,1.543
7.053,1.565
7.054,1.565
7.103,1.587
7.124,1.596
7.153,1.609
7.194,1.628
7.201,1.631
7.203,1.632
7.253,1.655
7.263,1.659
7.303,1.678
7.334,1.692
7.353,1.701
7.401,1.723
7.404,1.725
7.405,1.725
7.453,1.748
7.474,1.758
7.505,1.772
7.544,1.791
7.553,1.795
7.601,1.818
7.603,1.819
7.613,1.824
7.674,1.853
7.683,1.857
7.704,1.868
7.753,1.892
7.754,1.892
7.801,1.915
7.804,1.917
7.823,1.926
7.853,1.941
7.894,1.961
7.903,1.966
7.952,1.99
