Instante(s),Pos_x(m),Pos_y(m)
0.08,0.52,0.3
0.167,0.277,0.532
0.228,0.049,0.598
0.29,-0.191,0.569
0.36,-0.423,0.426
0.444,-0.583,0.143
0.536,-0.561,-0.212
0.57,-0.501,-0.33
0.65,-0.269,-0.536
0.751,0.116,-0.589
0.791,0.264,-0.539
0.86,0.472,-0.37
0.935,0.591,-0.104
1.071,0.453,0.393
1.074,0.446,0.402
1.145,0.219,0.559
1.21,-0.031,0.599
1.28,-0.292,0.524
1.368,-0.53,0.281
1.446,-0.6,-0.014
1.491,-0.57,-0.187
1.566,-0.415,-0.433
1.66,-0.09,-0.593
1.701,0.071,-0.596
1.774,0.336,-0.497
1.851,0.534,-0.273
1.954,0.588,0.119
2.796,0.501,-0.33
2.798,0.506,-0.323
2.8,0.51,-0.316
2.801,0.512,-0.313
2.803,0.516,-0.306
2.815,0.538,-0.265
2.817,0.542,-0.258
2.82,0.547,-0.247
2.822,0.55,-0.24
2.824,0.553,-0.233
2.826,0.556,-0.226
2.828,0.559,-0.218
2.83,0.562,-0.211
2.909,0.593,0.094
2.992,0.459,0.386
3.067,0.223,0.557
3.132,-0.026,0.599
3.223,-0.357,0.482
3.258,-0.457,0.389
3.34,-0.591,0.101
3.407,-0.578,-0.159
3.451,-0.509,-0.317
3.55,-0.216,-0.56
3.62,0.054,-0.598
3.66,0.206,-0.563
3.734,0.445,-0.403
3.845,0.6,-0.007
3.923,0.527,0.287
3.951,0.466,0.378
4.024,0.24,0.55
4.146,-0.225,0.556
4.166,-0.296,0.522
4.235,-0.494,0.341
4.347,-0.595,-0.076
4.37,-0.577,-0.164
4.44,-0.445,-0.402
4.53,-0.147,-0.582
4.649,0.303,-0.518
4.651,0.31,-0.514
4.733,0.529,-0.284
4.843,0.585,0.135
4.863,0.562,0.21
4.945,0.376,0.467
5.025,0.093,0.593
5.07,-0.083,0.594
5.158,-0.393,0.454
5.237,-0.565,0.201
5.327,-0.582,-0.147
5.358,-0.54,-0.261
5.438,-0.338,-0.496
5.527,-0.01,-0.6
5.56,0.118,-0.588
5.682,0.504,-0.326
5.706,0.548,-0.244
5.77,0.6,0.0
