Instante(s),Pos_y(m)
0.082,4.03
0.139,3.92
0.224,3.663
0.335,3.177
0.355,3.104
0.471,2.436
0.51,2.226
0.584,1.749
0.668,1.129
0.7,0.899
0.826,-0.277
