Instante(s),Pos_x(m)
5.437,0.609
5.462,0.615
5.507,0.625
5.512,0.626
5.562,0.637
5.577,0.641
5.613,0.649
5.624,0.652
5.647,0.657
5.662,0.661
5.712,0.672
5.717,0.674
5.762,0.684
5.787,0.69
5.812,0.696
5.824,0.699
5.857,0.707
5.863,0.709
5.912,0.721
5.927,0.724
5.962,0.733
5.997,0.741
6.012,0.745
6.024,0.748
6.062,0.758
6.067,0.759
6.113,0.771
6.137,0.777
6.163,0.783
6.207,0.794
6.212,0.796
6.224,0.799
6.262,0.809
6.277,0.813
6.312,0.822
6.347,0.831
6.363,0.835
6.413,0.848
6.417,0.849
6.429,0.852
6.463,0.862
6.487,0.868
6.513,0.875
6.557,0.887
6.563,0.889
6.613,0.902
6.624,0.905
6.627,0.906
6.664,0.916
6.697,0.925
6.715,0.93
6.764,0.944
6.767,0.945
6.852,0.969
6.852,0.969
6.853,0.969
6.864,0.972
6.908,0.985
6.914,0.986
6.964,1.001
6.977,1.004
7.014,1.015
7.024,1.018
7.047,1.025
7.065,1.03
7.117,1.045
7.117,1.045
7.166,1.06
7.187,1.066
7.216,1.075
7.224,1.077
7.257,1.087
7.266,1.09
7.315,1.104
7.327,1.108
7.364,1.119
7.397,1.129
7.414,1.134
7.424,1.138
7.465,1.15
7.467,1.151
7.516,1.166
7.537,1.173
7.566,1.182
7.607,1.194
7.616,1.197
7.624,1.2
7.665,1.213
7.677,1.217
7.715,1.229
7.747,1.239
7.765,1.245
7.817,1.261
7.817,1.261
7.824,1.264
7.866,1.277
7.887,1.284
7.916,1.294
7.957,1.307
7.966,1.31
8.015,1.326
8.024,1.329
8.027,1.33
8.065,1.343
8.097,1.354
8.115,1.36
8.167,1.377
8.167,1.377
8.219,1.395
8.224,1.397
8.237,1.401
8.266,1.411
8.307,1.425
8.315,1.428
8.377,1.449
8.417,1.463
8.424,1.465
8.447,1.473
8.466,1.48
8.519,1.499
8.519,1.499
8.567,1.516
8.587,1.523
8.618,1.534
8.624,1.536
8.657,1.548
8.667,1.551
8.717,1.569
8.727,1.573
8.767,1.587
8.797,1.598
8.817,1.606
8.824,1.608
8.869,1.625
8.869,1.625
8.918,1.643
8.937,1.65
8.969,1.662
9.007,1.676
9.018,1.68
9.024,1.682
9.069,1.699
9.078,1.702
9.119,1.718
9.147,1.728
9.169,1.737
9.218,1.755
9.219,1.756
9.224,1.758
9.269,1.775
9.287,1.782
9.32,1.795
9.357,1.809
9.442,1.842
9.442,1.842
9.442,1.842
9.443,1.842
9.469,1.852
9.498,1.864
9.519,1.872
9.568,1.891
9.568,1.891
9.619,1.912
9.624,1.914
9.637,1.919
9.67,1.932
9.707,1.947
9.721,1.952
9.771,1.973
9.777,1.975
9.82,1.993
