Instante(s),Pos_x(m),Pos_y(m)
0.0,0.6,0.0
0.101,0.562,0.209
0.14,-0.429,-0.419
0.23,0.045,0.598
0.29,-0.359,-0.481
0.377,0.376,0.468
0.42,0.409,-0.439
0.501,0.43,0.418
0.582,-0.427,0.421
0.639,-0.303,-0.518
0.709,-0.594,0.086
0.781,-0.408,0.44
0.849,0.485,0.354
0.92,0.573,-0.178
1.001,0.166,0.577
1.06,-0.534,-0.273
1.13,-0.454,0.392
1.199,0.327,0.503
1.288,-0.064,-0.597
1.34,0.261,-0.54
1.41,-0.402,-0.445
1.489,0.207,-0.563
1.55,-0.023,0.6
1.619,0.591,0.104
1.72,0.518,0.303
1.759,-0.35,-0.487
1.829,-0.583,0.141
1.9,-0.235,0.552
1.969,0.516,0.307
2.04,0.554,-0.231
2.11,-0.005,-0.6
2.196,0.175,0.574
2.25,-0.416,0.432
2.323,-0.2,0.566
2.399,-0.372,0.471
2.46,0.209,-0.562
2.53,-0.442,-0.406
2.597,-0.218,0.559
2.663,0.581,-0.149
2.74,0.567,0.196
2.831,-0.157,-0.579
2.926,-0.593,-0.089
2.953,-0.467,-0.377
3.02,-0.182,0.572
3.117,0.203,0.565
3.16,0.53,-0.281
3.254,-0.193,-0.568
3.326,-0.507,-0.321
3.37,-0.374,0.469
3.44,0.294,0.523
3.536,0.593,0.092
3.579,0.006,-0.6
3.65,-0.478,-0.363
3.719,-0.423,0.425
3.846,-0.593,0.091
3.866,-0.109,0.59
3.946,-0.599,0.029
4.018,-0.448,0.399
4.07,-0.591,0.102
4.183,0.598,0.043
4.211,0.394,0.453
4.279,0.403,-0.444
4.35,-0.116,-0.589
4.435,0.402,0.445
4.537,0.076,0.595
4.561,0.207,0.563
4.644,-0.591,-0.103
4.762,-0.064,0.597
4.771,-0.415,-0.434
4.84,-0.485,0.353
4.936,-0.022,0.6
4.98,0.594,0.087
5.085,0.036,0.599
5.12,-0.364,-0.477
5.19,-0.579,0.157
5.26,-0.073,0.596
5.364,-0.567,0.198
5.401,0.547,-0.246
5.47,-0.171,-0.575
5.54,-0.597,-0.059
5.682,0.116,0.589
5.685,-0.32,0.507
5.756,0.216,0.56
5.864,-0.59,-0.11
5.891,-0.453,-0.393
5.988,-0.599,-0.037
6.055,0.183,0.572
6.099,0.588,-0.12
6.17,0.255,-0.543
6.279,0.193,0.568
6.352,0.411,0.437
6.38,-0.017,0.6
6.46,-0.588,0.121
6.568,0.205,-0.564
6.6,0.505,0.324
6.67,0.491,-0.345
6.756,-0.373,0.47
7.591,0.473,-0.369
7.604,-0.52,0.299
7.606,-0.6,0.011
7.608,-0.53,-0.281
7.62,0.559,0.219
7.622,0.383,0.462
7.626,-0.187,0.57
7.628,-0.439,0.409
7.63,-0.582,0.145
7.632,-0.58,-0.155
7.636,-0.178,-0.573
7.637,-0.029,-0.599
7.652,-0.337,0.497
7.748,0.183,0.571
7.81,-0.218,-0.559
7.924,-0.074,0.595
7.929,-0.59,0.11
8.0,-0.263,0.539
8.069,0.499,0.333
8.161,0.145,-0.582
8.234,-0.109,-0.59
8.32,0.272,0.535
8.358,-0.18,-0.572
8.448,-0.243,0.549
8.527,-0.599,0.04
8.559,0.093,-0.593
