Instante(s),Pos_x(m)
0.0,0.0
0.004,0.0
0.033,0.0
0.055,0.0
0.104,0.0
0.104,0.0
0.155,0.0
0.173,0.001
0.2,0.001
0.204,0.001
0.243,0.001
0.254,0.001
0.304,0.002
0.313,0.002
0.354,0.003
0.384,0.003
0.401,0.004
0.405,0.004
0.453,0.005
0.456,0.005
0.505,0.006
0.524,0.007
0.555,0.007
0.593,0.009
0.6,0.009
0.605,0.009
0.655,0.01
0.663,0.011
0.706,0.012
0.733,0.013
0.756,0.014
0.8,0.016
0.803,0.016
0.805,0.016
0.855,0.018
0.873,0.019
0.905,0.02
0.943,0.022
0.955,0.023
1.0,0.025
1.006,0.025
1.013,0.026
1.056,0.028
1.084,0.029
1.106,0.031
1.153,0.033
1.156,0.034
1.2,0.036
1.206,0.037
1.223,0.038
1.257,0.04
1.293,0.042
1.306,0.043
1.356,0.046
1.363,0.047
1.4,0.049
1.406,0.05
1.433,0.052
1.456,0.054
1.503,0.057
1.506,0.057
1.556,0.061
1.574,0.063
1.601,0.065
1.606,0.065
1.644,0.069
1.656,0.07
1.714,0.075
1.757,0.078
1.783,0.081
1.8,0.082
1.808,0.083
1.853,0.087
1.858,0.088
1.907,0.092
1.923,0.094
1.957,0.097
1.993,0.101
2.0,0.102
2.007,0.103
2.057,0.108
2.063,0.108
2.108,0.113
2.133,0.116
2.159,0.119
2.2,0.123
2.203,0.124
2.208,0.124
2.29,0.134
2.29,0.134
2.308,0.136
2.344,0.14
2.358,0.142
2.4,0.147
2.408,0.148
2.413,0.149
2.458,0.154
2.483,0.157
2.509,0.161
2.553,0.166
2.56,0.167
2.601,0.173
2.61,0.174
2.623,0.176
2.659,0.181
2.693,0.185
2.709,0.188
2.759,0.195
2.763,0.195
2.808,0.202
2.812,0.202
2.834,0.205
2.865,0.21
2.903,0.216
2.96,0.224
2.974,0.226
3.0,0.23
3.011,0.232
3.043,0.237
3.06,0.24
3.11,0.248
3.113,0.248
3.16,0.256
3.185,0.26
3.2,0.262
3.21,0.264
3.253,0.271
3.26,0.272
3.311,0.281
3.323,0.283
3.361,0.29
3.393,0.295
3.4,0.296
3.411,0.298
3.463,0.308
3.463,0.308
3.513,0.317
3.533,0.32
3.563,0.326
3.6,0.332
3.603,0.333
3.612,0.335
3.662,0.344
3.673,0.346
3.713,0.354
3.743,0.36
3.762,0.363
3.8,0.371
3.815,0.374
3.815,0.374
3.864,0.383
3.883,0.387
3.913,0.393
3.955,0.402
3.963,0.403
4.0,0.411
4.013,0.414
4.023,0.416
4.063,0.424
4.093,0.43
4.114,0.435
4.164,0.446
4.164,0.446
4.2,0.453
4.215,0.457
4.233,0.46
4.264,0.467
4.303,0.476
4.314,0.478
4.364,0.49
4.373,0.492
4.4,0.498
4.414,0.501
4.443,0.508
4.465,0.513
4.513,0.524
4.515,0.524
4.568,0.537
4.583,0.54
4.603,0.545
4.653,0.557
4.665,0.56
4.716,0.572
4.723,0.574
4.766,0.584
4.793,0.591
4.8,0.593
4.815,0.596
4.894,0.616
4.895,0.616
4.915,0.622
4.933,0.626
4.966,0.635
5.0,0.643
5.003,0.644
5.017,0.648
5.066,0.66
5.073,0.662
5.116,0.674
5.143,0.681
5.166,0.687
5.2,0.696
5.213,0.7
5.216,0.7
5.267,0.714
5.283,0.718
5.316,0.728
5.353,0.738
5.366,0.741
5.4,0.751
5.416,0.755
5.423,0.757
5.466,0.769
5.493,0.777
5.517,0.784
5.563,0.797
5.567,0.798
5.6,0.808
5.617,0.813
5.633,0.817
5.667,0.827
5.703,0.838
5.768,0.857
5.773,0.858
5.8,0.867
5.818,0.872
5.843,0.88
5.868,0.887
5.913,0.901
5.918,0.902
5.968,0.918
5.983,0.922
6.0,0.928
6.019,0.933
6.053,0.944
6.069,0.949
6.118,0.965
6.123,0.966
6.168,0.98
6.193,0.988
6.2,0.991
6.218,0.996
6.263,1.011
6.268,1.013
6.319,1.029
6.333,1.034
6.368,1.045
6.4,1.056
6.403,1.057
6.418,1.062
6.468,1.078
6.473,1.08
6.518,1.095
6.543,1.104
6.569,1.112
6.604,1.124
6.613,1.127
6.618,1.129
6.668,1.146
6.683,1.152
6.718,1.164
6.754,1.176
6.779,1.185
6.8,1.192
6.819,1.199
6.827,1.202
6.869,1.217
6.893,1.225
6.919,1.235
6.963,1.25
6.97,1.253
7.0,1.264
7.021,1.271
7.033,1.276
7.07,1.289
7.104,1.302
7.12,1.308
7.17,1.326
7.173,1.327
7.2,1.337
7.221,1.345
7.244,1.354
7.272,1.364
7.313,1.38
7.322,1.383
7.371,1.402
7.383,1.406
7.4,1.413
7.457,1.435
7.458,1.435
7.47,1.44
7.521,1.459
7.523,1.46
7.571,1.479
7.593,1.488
7.601,1.491
7.622,1.499
7.664,1.516
7.672,1.519
7.723,1.539
7.733,1.543
7.773,1.559
7.8,1.57
7.803,1.571
7.822,1.579
7.874,1.6
7.874,1.6
7.922,1.62
7.943,1.628
7.972,1.64
8.0,1.652
8.013,1.657
8.022,1.661
8.074,1.682
8.083,1.686
8.124,1.703
8.153,1.716
8.173,1.724
8.2,1.736
8.226,1.747
8.226,1.747
8.275,1.767
8.293,1.775
8.326,1.789
8.363,1.805
8.375,1.811
8.401,1.822
8.425,1.832
8.434,1.836
8.475,1.854
8.503,1.866
8.525,1.876
8.573,1.897
8.576,1.899
8.6,1.909
8.625,1.921
8.643,1.929
8.675,1.943
8.713,1.96
8.725,1.965
8.775,1.988
8.783,1.992
