Instante(s),Pos_x(m)
0.0,0.0
0.043,0.0
0.051,0.0
0.073,0.0
0.102,0.0
0.143,0.0
0.153,0.0
0.206,0.001
0.21,0.001
0.245,0.001
0.254,0.001
0.282,0.002
0.356,0.002
0.357,0.002
0.405,0.003
0.423,0.003
0.439,0.004
0.459,0.004
0.493,0.005
0.511,0.005
0.562,0.006
0.614,0.007
0.632,0.008
0.646,0.008
0.663,0.009
0.703,0.01
0.715,0.01
0.765,0.011
0.771,0.012
0.819,0.013
0.842,0.014
0.842,0.014
0.871,0.015
0.914,0.016
0.973,0.019
0.981,0.019
1.024,0.021
1.046,0.021
1.052,0.022
1.076,0.023
1.124,0.025
1.178,0.027
1.192,0.028
1.23,0.03
1.245,0.03
1.263,0.031
1.281,0.032
1.332,0.035
1.332,0.035
1.384,0.037
1.403,0.039
1.485,0.043
1.485,0.043
1.485,0.043
1.536,0.046
1.542,0.047
1.588,0.049
1.613,0.051
1.639,0.053
1.68,0.055
1.686,0.056
1.74,0.059
1.753,0.06
1.79,0.063
1.82,0.065
1.848,0.067
1.85,0.067
1.895,0.07
1.948,0.074
1.963,0.075
1.999,0.078
2.032,0.081
2.042,0.082
2.05,0.082
2.102,0.086
2.149,0.09
2.172,0.092
2.201,0.095
2.242,0.098
2.242,0.098
2.252,0.099
2.303,0.104
2.312,0.105
2.356,0.109
2.419,0.114
2.438,0.116
2.453,0.118
2.455,0.118
2.506,0.123
2.523,0.125
2.558,0.128
2.593,0.132
2.607,0.133
2.641,0.136
2.657,0.138
2.662,0.139
2.71,0.144
2.733,0.146
2.759,0.149
2.802,0.154
2.811,0.155
2.847,0.159
2.863,0.16
2.872,0.161
2.915,0.166
2.943,0.169
2.966,0.172
3.014,0.178
3.017,0.178
3.047,0.182
3.068,0.184
3.083,0.186
3.119,0.19
3.154,0.195
3.169,0.196
3.225,0.203
3.225,0.203
3.239,0.205
3.275,0.21
3.293,0.212
3.327,0.217
3.362,0.221
3.376,0.223
3.426,0.23
3.432,0.23
3.445,0.232
3.482,0.237
3.503,0.24
3.573,0.25
3.584,0.251
3.639,0.259
3.64,0.259
3.687,0.266
3.713,0.27
3.738,0.273
3.781,0.28
3.789,0.281
