Instante(s),Pos_x(m),Pos_y(m)
0.07,0.554,0.232
0.141,0.419,0.43
0.223,0.182,0.572
0.271,0.022,0.6
0.351,-0.242,0.549
0.446,-0.489,0.347
0.491,-0.561,0.213
0.561,-0.6,-0.02
0.631,-0.545,-0.25
0.734,-0.317,-0.509
0.761,-0.236,-0.552
0.841,0.029,-0.599
0.9,0.224,-0.557
0.971,0.424,-0.425
1.051,0.567,-0.197
1.144,0.589,0.115
1.19,0.54,0.263
1.27,0.37,0.472
1.345,0.143,0.583
1.4,-0.042,0.598
1.481,-0.303,0.518
1.569,-0.514,0.31
1.636,-0.592,0.098
1.691,-0.594,-0.088
1.761,-0.514,-0.31
1.851,-0.297,-0.521
1.901,-0.14,-0.584
1.981,0.13,-0.586
2.047,0.335,-0.498
2.152,0.556,-0.225
2.18,0.585,-0.135
2.26,0.585,0.135
2.356,0.431,0.418
2.391,0.34,0.494
2.463,0.116,0.589
2.566,-0.227,0.555
2.601,-0.332,0.5
2.67,-0.497,0.336
2.762,-0.598,0.044
2.812,-0.587,-0.125
2.88,-0.497,-0.336
2.952,-0.323,-0.506
3.056,0.012,-0.6
3.091,0.13,-0.586
3.167,0.362,-0.478
3.263,0.557,-0.222
3.301,0.592,-0.098
3.37,0.585,0.135
3.471,0.419,0.43
3.511,0.312,0.513
3.581,0.09,0.593
3.662,-0.182,0.572
3.72,-0.357,0.482
3.791,-0.517,0.304
3.874,-0.599,0.037
3.97,-0.532,-0.278
4.002,-0.473,-0.369
4.07,-0.3,-0.52
4.174,0.039,-0.599
4.21,0.159,-0.578
4.305,0.433,-0.415
4.377,0.562,-0.209
4.42,0.596,-0.068
4.49,0.576,0.168
4.587,0.404,0.444
4.632,0.279,0.531
4.701,0.056,0.597
4.782,-0.214,0.56
4.831,-0.36,0.48
4.926,-0.555,0.228
5.017,-0.595,-0.075
5.051,-0.57,-0.187
5.154,-0.373,-0.47
5.191,-0.267,-0.537
5.315,0.143,-0.583
5.356,0.273,-0.534
5.404,0.407,-0.441
5.494,0.57,-0.187
5.6,0.576,0.168
5.61,0.566,0.2
5.712,0.365,0.476
5.802,0.086,0.594
5.822,0.019,0.6
5.89,-0.208,0.563
5.962,-0.414,0.434
6.056,-0.577,0.164
6.12,-0.598,-0.051
6.222,-0.473,-0.369
6.247,-0.416,-0.432
6.331,-0.172,-0.575
6.381,-0.005,-0.6
6.45,0.224,-0.557
6.551,0.489,-0.347
6.581,0.541,-0.259
6.66,0.6,-0.0
