Instante(s),Pos_x(m)
0.02,0.0
0.049,0.0
0.071,0.0
0.124,0.001
0.125,0.001
0.175,0.001
0.189,0.001
0.2,0.001
0.226,0.002
0.259,0.002
0.329,0.003
0.33,0.003
0.379,0.004
0.401,0.005
0.402,0.005
0.431,0.005
0.47,0.006
0.482,0.007
0.539,0.008
0.582,0.009
0.602,0.01
0.608,0.01
0.635,0.011
0.679,0.013
0.683,0.013
0.737,0.015
0.749,0.015
0.789,0.017
0.804,0.018
0.819,0.018
0.838,0.019
0.888,0.021
0.889,0.021
0.942,0.024
0.959,0.025
0.99,0.026
1.003,0.027
1.03,0.028
1.042,0.029
1.092,0.032
1.098,0.032
1.146,0.035
1.169,0.036
1.194,0.038
1.196,0.038
1.238,0.041
1.243,0.041
1.298,0.045
1.309,0.046
1.349,0.048
1.38,0.051
1.406,0.052
1.406,0.052
1.452,0.056
1.503,0.06
1.518,0.061
1.553,0.064
1.589,0.067
1.596,0.067
1.603,0.068
1.653,0.072
1.658,0.073
1.707,0.077
1.73,0.079
1.758,0.082
1.8,0.086
1.8,0.086
1.883,0.094
1.883,0.094
1.908,0.096
1.939,0.099
1.96,0.101
2.002,0.106
2.01,0.106
2.01,0.106
2.06,0.112
2.08,0.114
2.114,0.118
2.148,0.121
2.162,0.123
2.204,0.128
2.212,0.129
2.218,0.129
2.266,0.135
2.29,0.138
2.359,0.146
2.366,0.147
2.401,0.151
2.418,0.154
2.429,0.155
2.47,0.16
2.5,0.164
2.522,0.167
2.571,0.173
2.572,0.174
2.602,0.178
2.625,0.181
2.639,0.183
2.677,0.188
2.709,0.192
2.728,0.195
2.782,0.203
2.782,0.203
2.802,0.206
2.832,0.21
2.848,0.212
2.919,0.223
2.935,0.226
2.988,0.234
2.998,0.235
3.037,0.241
3.06,0.245
3.089,0.25
3.129,0.256
3.139,0.258
3.191,0.266
3.199,0.268
3.2,0.268
3.243,0.275
3.269,0.279
3.295,0.284
3.338,0.291
3.345,0.292
3.402,0.302
3.408,0.304
3.447,0.31
3.478,0.316
3.499,0.32
3.552,0.33
3.553,0.33
3.599,0.338
3.617,0.342
3.648,0.348
3.688,0.355
3.702,0.358
3.75,0.367
3.758,0.369
3.797,0.376
3.797,0.376
3.827,0.382
3.853,0.387
3.898,0.396
3.898,0.396
3.952,0.408
3.968,0.411
4.003,0.418
4.003,0.418
4.039,0.426
4.052,0.428
4.102,0.439
4.108,0.44
4.153,0.45
4.179,0.455
4.198,0.46
4.251,0.471
4.252,0.471
4.305,0.483
4.319,0.486
4.356,0.495
4.39,0.502
4.398,0.504
4.406,0.506
4.456,0.517
4.457,0.518
4.508,0.53
4.529,0.535
4.56,0.542
4.642,0.561
4.643,0.562
4.661,0.566
4.667,0.568
4.711,0.578
4.74,0.585
4.762,0.591
4.8,0.6
4.807,0.602
4.859,0.615
4.88,0.62
4.912,0.628
4.95,0.638
4.962,0.641
5.003,0.652
5.013,0.654
5.018,0.656
5.065,0.668
5.09,0.675
5.117,0.682
5.16,0.693
5.205,0.705
5.218,0.709
5.229,0.712
5.27,0.723
5.3,0.731
5.322,0.737
5.374,0.752
5.374,0.752
5.401,0.759
5.422,0.765
5.439,0.77
5.474,0.78
5.509,0.79
5.525,0.794
5.579,0.81
5.579,0.81
5.596,0.815
5.63,0.825
5.65,0.83
5.682,0.84
5.719,0.851
5.733,0.855
5.786,0.871
5.797,0.874
5.829,0.884
5.856,0.892
5.879,0.899
5.926,0.913
5.929,0.914
5.981,0.93
5.999,0.936
5.999,0.936
6.033,0.946
6.069,0.958
6.088,0.964
6.14,0.98
6.14,0.98
6.19,0.996
6.2,0.999
6.208,1.002
6.242,1.013
6.28,1.025
6.293,1.029
6.343,1.046
6.348,1.047
6.4,1.065
6.4,1.065
6.418,1.071
6.449,1.081
6.49,1.095
6.5,1.098
6.551,1.115
6.558,1.118
6.605,1.134
6.605,1.134
6.629,1.142
6.701,1.167
6.702,1.167
6.755,1.186
6.768,1.19
6.796,1.2
6.837,1.215
6.852,1.22
6.906,1.239
6.907,1.239
6.956,1.257
6.979,1.265
7.0,1.273
7.006,1.275
7.048,1.29
7.105,1.311
7.119,1.316
7.157,1.331
7.188,1.342
7.2,1.347
7.205,1.348
7.257,1.368
7.257,1.368
7.311,1.388
7.393,1.42
7.399,1.422
7.4,1.422
7.411,1.426
7.461,1.446
7.468,1.448
7.512,1.466
7.539,1.476
7.565,1.486
7.602,1.501
7.607,1.503
7.615,1.506
7.679,1.531
7.715,1.546
7.75,1.56
7.766,1.566
7.805,1.582
7.818,1.587
7.872,1.609
7.889,1.616
7.916,1.627
7.959,1.645
7.969,1.649
8.003,1.663
8.018,1.669
8.029,1.674
8.069,1.69
8.098,1.702
8.119,1.711
8.172,1.734
8.172,1.734
8.204,1.747
8.221,1.754
8.239,1.762
8.273,1.777
8.31,1.792
8.322,1.798
8.372,1.819
8.378,1.822
8.402,1.832
8.425,1.842
8.45,1.853
8.475,1.864
8.519,1.883
8.577,1.909
8.589,1.914
8.603,1.921
8.628,1.932
8.66,1.946
8.68,1.955
8.732,1.979
8.733,1.979
8.783,2.002
8.799,2.009
