Instante(s),PosicaoAngular(graus)
0.0,0.0
0.101,25.489
0.14,35.331
0.23,58.044
0.29,73.186
0.377,95.142
0.42,105.994
0.501,126.435
0.582,146.877
0.639,161.262
0.709,178.927
0.781,197.098
0.849,214.259
0.92,232.177
1.001,252.618
1.06,267.508
1.13,285.174
1.199,302.587
1.288,325.047
1.34,338.17
1.41,355.836
1.489,375.773
1.55,391.167
1.619,408.58
1.72,434.069
1.759,443.912
1.829,461.577
1.9,479.495
1.969,496.909
2.04,514.826
2.11,532.492
2.196,554.196
2.25,567.823
2.323,586.246
2.399,605.426
2.46,620.82
2.53,638.486
2.597,655.394
2.663,672.05
2.74,691.483
2.831,714.448
2.926,738.423
2.953,745.237
3.02,762.145
3.117,786.625
3.16,797.476
3.254,821.199
3.326,839.369
3.37,850.473
3.44,868.139
3.536,892.366
3.579,903.218
3.65,921.136
3.719,938.549
3.846,970.599
3.866,975.647
3.946,995.836
4.018,1014.006
4.07,1027.129
4.183,1055.647
4.211,1062.713
4.279,1079.874
4.35,1097.792
4.435,1119.243
4.537,1144.984
4.561,1151.041
4.644,1171.987
4.762,1201.767
4.771,1204.038
4.84,1221.451
4.936,1245.678
4.98,1256.782
5.085,1283.281
5.12,1292.114
5.19,1309.779
5.26,1327.445
5.364,1353.691
5.401,1363.028
5.47,1380.442
5.54,1398.107
5.682,1433.943
5.685,1434.7
5.756,1452.618
5.864,1479.874
5.891,1486.688
5.988,1511.167
6.055,1528.076
6.099,1539.18
6.17,1557.098
6.279,1584.606
6.352,1603.028
6.38,1610.095
6.46,1630.284
6.568,1657.539
6.6,1665.615
6.67,1683.281
6.756,1704.984
7.591,1915.71
7.604,1918.991
7.606,1919.495
7.608,1920.0
7.62,1923.028
7.622,1923.533
7.626,1924.543
7.628,1925.047
7.63,1925.552
7.632,1926.057
7.636,1927.066
7.637,1927.319
7.652,1931.104
7.748,1955.331
7.81,1970.978
7.924,1999.748
7.929,2001.009
8.0,2018.927
8.069,2036.341
8.161,2059.558
8.234,2077.981
8.32,2099.685
8.358,2109.274
8.448,2131.987
8.527,2151.924
8.559,2160.0
