time,AccelerometerX,AccelerometerY,AccelerometerZ,Light
0.0300,0.0518,-0.2853,0.9938,0.0
0.0420,0.0459,-0.2893,0.9929,0.0
0.0710,0.0459,-0.2893,0.9929,0.0
0.1100,0.0596,-0.2697,0.9938,0.0
0.1170,0.0596,-0.2697,0.9938,0.0
0.1170,0.0596,-0.2697,0.9938,0.0
0.1820,0.0537,-0.2873,0.9958,0.0
0.2160,0.0537,-0.2873,0.9958,0.0
0.2530,0.0420,-0.2834,0.9919,0.0
0.2660,0.0420,-0.2834,0.9919,0.0
0.3100,0.0420,-0.2834,0.9919,0.0
0.3150,0.0420,-0.2834,0.9919,0.0
0.3220,0.0518,-0.2932,0.9929,0.0
0.3920,0.0528,-0.2805,0.9938,0.0
0.4170,0.0528,-0.2805,0.9938,0.0
0.4620,0.0518,-0.2824,0.9958,0.0
0.5110,0.0518,-0.2824,0.9958,0.0
0.5190,0.0518,-0.2824,0.9958,0.0
0.5330,0.0537,-0.2902,0.9948,0.0
0.6020,0.0528,-0.2844,0.9919,0.0
0.6190,0.0528,-0.2844,0.9919,0.0
0.6720,0.0518,-0.2834,0.9938,0.0
0.7140,0.0518,-0.2834,0.9938,0.0
0.7210,0.0518,-0.2834,0.9938,0.0
0.7430,0.0537,-0.2834,0.9938,0.0
0.8120,0.0508,-0.2795,0.9948,0.0
0.8170,0.0508,-0.2795,0.9948,0.0
0.8710,0.0508,-0.2795,0.9948,0.0
0.8830,0.0528,-0.2922,0.9958,0.0
0.9140,0.0528,-0.2922,0.9958,0.0
0.9210,0.0528,-0.2922,0.9958,0.0
0.9540,0.0518,-0.2697,0.9929,0.0
1.0230,0.0518,-0.2697,0.9929,0.0
1.0230,0.0430,-0.2766,0.9929,0.0
1.0740,0.0430,-0.2766,0.9929,0.0
1.0940,0.0528,-0.2766,0.9929,0.0
1.1160,0.0528,-0.2766,0.9929,0.0
1.1250,0.0528,-0.2766,0.9929,0.0
1.1640,0.0547,-0.2834,0.9938,0.0
1.1780,0.0547,-0.2834,0.9938,0.0
1.2250,0.0547,-0.2834,0.9938,0.0
1.2320,0.0508,-0.2834,0.9948,0.0
1.2760,0.0508,-0.2834,0.9948,0.0
