time,x,y,z
0.0280,-0.0781,0.3128,0.7195
0.1030,-0.1563,0.3284,0.8603
0.1660,-0.0469,0.3440,0.8916
0.2320,-0.1407,0.3128,0.9542
0.2930,-0.0938,0.2815,0.8603
0.3800,-0.0312,0.2658,0.8916
0.4520,-0.1407,0.2971,0.7977
0.5220,0.0470,0.2189,0.7977
0.5830,-0.0781,0.2346,0.7665
0.6520,-0.1407,0.0781,1.0793
0.7220,0.0626,0.1251,0.9229
0.7920,0.0313,0.1094,0.9385
0.8670,-0.0938,0.0938,0.8603
0.9330,-0.0781,0.0312,1.0324
0.9920,-0.1094,-0.0001,0.9854
1.0740,-0.0469,-0.0470,0.9698
1.1420,-0.0938,-0.0939,0.9385
1.2180,-0.1407,-0.1252,0.9698
1.2820,-0.1251,-0.1721,1.0167
1.3430,-0.0469,-0.2816,1.1418
1.4320,0.1878,-0.1721,0.8447
1.4930,0.1878,-0.1565,0.7665
1.5720,0.3442,-0.2972,1.0011
1.6330,0.4536,-0.2503,0.6883
1.7120,0.5475,-0.3598,0.5944
1.7840,0.7039,-0.2190,0.3129
1.8420,1.0949,-0.2034,-0.0156
1.9220,0.6257,-0.0939,-0.1407
1.9940,1.0949,-0.0157,-0.2033
2.0520,1.2983,-0.0470,0.0626
2.1320,0.9072,-0.0939,-0.0938
2.1940,1.0636,-0.0313,-0.0938
2.2920,1.1731,-0.0001,-0.1251
2.3430,1.1575,-0.0157,-0.0781
2.4030,1.1888,-0.0001,-0.0625
2.4820,1.0793,-0.0157,-0.1094
2.5560,0.9854,-0.0313,-0.0938
2.6310,0.9698,-0.0157,-0.0625
2.6820,1.1418,-0.0001,-0.0625
2.7620,1.1262,-0.0001,-0.1407
2.8320,0.9229,-0.0313,-0.1251
2.9190,0.9854,-0.0001,-0.0469
2.9930,0.9854,-0.0001,-0.0938
3.0330,1.0167,-0.0313,-0.1251
3.1030,0.8916,-0.0157,-0.1251
3.2220,0.9385,-0.0157,-0.0781
3.2530,1.0011,-0.0001,-0.0938
3.3230,1.0011,-0.0157,-0.1094
3.3980,1.0324,-0.0313,-0.1094
3.4640,0.9542,-0.0001,-0.0781
3.5370,1.0167,-0.0157,-0.0938
3.6040,1.0324,-0.0001,-0.1251
3.7010,0.9854,-0.0157,-0.0938
3.7430,1.0011,-0.0001,-0.0938
3.8150,1.0167,-0.0001,-0.1251
3.8980,0.9698,-0.0001,-0.1094
3.9530,1.0324,-0.0001,-0.0938
4.0280,1.0011,-0.0157,-0.0938
4.0960,1.0011,-0.0001,-0.0938
4.1630,0.9854,-0.0001,-0.1094
4.2350,0.9698,-0.0001,-0.0938
4.3090,1.0324,0.0156,-0.0938
4.3630,1.0011,-0.0001,-0.0938
4.4370,0.9698,-0.0001,-0.0781
4.5130,0.9698,-0.0001,-0.0781
4.6060,1.0011,0.0156,-0.0938
4.6430,1.0011,-0.0001,-0.0938
4.7230,1.0011,-0.0157,-0.1094
4.8020,1.0011,-0.0157,-0.1251
4.8630,1.0011,-0.0157,-0.0938
4.9330,0.9698,-0.0001,-0.1094
5.0030,0.9698,-0.0001,-0.0938
5.0730,0.9854,-0.0157,-0.0938
5.1530,1.0167,-0.0001,-0.0938
5.2280,1.0011,-0.0001,-0.0781
5.2820,1.0011,-0.0001,-0.0781
5.3640,0.9542,-0.0157,-0.0938
5.4390,1.0167,-0.0157,-0.0938
5.5100,1.0167,-0.0001,-0.0938
5.5630,1.0636,-0.0001,-0.1094
5.6330,0.9698,-0.0001,-0.0938
5.7310,1.0167,-0.0001,-0.1094
5.7730,0.9698,-0.0001,-0.0938
5.8570,0.9698,-0.0157,-0.0938
5.9310,1.0011,-0.0001,-0.0938
5.9830,0.9542,-0.0157,-0.1094
6.0630,0.9854,-0.0001,-0.0938
6.1330,1.0011,-0.0157,-0.0938
6.2310,1.0324,-0.0157,-0.0938
6.2730,1.0011,-0.0157,-0.0938
6.3420,1.0011,-0.0157,-0.0938
6.4300,1.0011,-0.0001,-0.0781
6.4730,0.9854,-0.0157,-0.0938
6.5520,0.9072,-0.0157,-0.0938
6.6330,1.0324,-0.0001,-0.1094
6.6950,1.0011,-0.0157,-0.0938
6.7640,1.0480,-0.0001,-0.0938
6.8450,1.0949,-0.0001,-0.0938
6.9050,0.9542,-0.0157,-0.0938
6.9750,1.0011,-0.0001,-0.0938
7.0420,0.9854,-0.0157,-0.0781
7.1030,0.9542,-0.0157,-0.0781
7.1720,0.9229,-0.0157,-0.0781
7.2530,1.0480,-0.0157,-0.0938
7.3540,1.0011,-0.0157,-0.0781
7.3930,1.0324,-0.0157,-0.1094
7.4830,1.0793,-0.0157,-0.1094
7.5430,1.2044,-0.0157,-0.1251
7.6300,1.4390,-0.0001,-0.1251
7.6730,1.5172,0.0156,-0.1407
7.7540,1.9552,0.0312,-0.1563
7.8350,1.8770,0.0312,-0.1407
7.8920,-2.0020,0.0469,-0.1720
7.9620,1.8613,0.0312,-0.1720
8.0340,1.9395,0.0625,-0.2815
8.1020,1.9083,0.0781,-0.2502
8.1730,1.1731,-0.0001,-0.2033
8.2540,0.7039,-0.0313,-0.1407
8.3130,0.6101,-0.0470,-0.0625
8.3830,0.5788,-0.0626,-0.0469
8.4520,0.4536,-0.0470,-0.0625
8.5410,0.3129,-0.0783,-0.0312
8.5930,0.2660,-0.0783,0.0157
