time,AccelerometerX,AccelerometerY,AccelerometerZ,Light
0.0550,-0.2639,0.1730,0.9225,184.41664123535156
0.0560,-0.4622,0.2580,0.8541,184.41664123535156
0.0840,-0.4622,0.2580,0.8541,184.41664123535156
0.1110,-0.1603,0.0723,0.7720,184.41664123535156
0.1310,-0.1603,0.0723,0.7720,205.36488342285156
0.1370,-0.1603,0.0723,0.7720,205.36488342285156
0.1820,-0.4310,0.1026,0.8199,205.36488342285156
0.1900,-0.4310,0.1026,0.8199,205.36488342285156
0.2400,-0.4310,0.1026,0.8199,205.36488342285156
0.2520,-0.6303,0.1173,0.9714,205.36488342285156
0.3220,-0.1925,-0.0997,1.3320,205.36488342285156
0.3290,-0.1925,-0.0997,1.3320,226.32293701171875
0.3380,-0.1925,-0.0997,1.3320,226.32293701171875
0.3890,-0.1925,-0.0997,1.3320,226.32293701171875
0.3910,-0.5795,0.0303,0.8385,226.32293701171875
0.4390,-0.5795,0.0303,0.8385,226.32293701171875
0.4620,-0.6938,0.0215,0.7925,226.32293701171875
0.4890,-0.6938,0.0215,0.7925,226.32293701171875
0.5300,-0.6938,0.0215,0.7925,223.0980224609375
0.5320,-0.6508,-0.0156,0.7867,223.0980224609375
0.5410,-0.6508,-0.0156,0.7867,223.0980224609375
0.5930,-0.6508,-0.0156,0.7867,223.0980224609375
0.6010,-0.7046,-0.2697,0.8346,223.0980224609375
0.6450,-0.7046,-0.2697,0.8346,223.0980224609375
0.6730,-0.5766,-0.0899,0.7710,223.0980224609375
0.6960,-0.5766,-0.0899,0.7710,223.0980224609375
0.7300,-0.5766,-0.0899,0.7710,226.32293701171875
0.7420,-0.4202,-0.0469,0.8932,226.32293701171875
0.7460,-0.4202,-0.0469,0.8932,226.32293701171875
0.7990,-0.4202,-0.0469,0.8932,226.32293701171875
0.8140,-0.3772,0.0000,1.0319,226.32293701171875
0.8840,-0.1466,-0.0059,0.8932,226.32293701171875
0.8980,-0.1466,-0.0059,0.8932,226.32293701171875
0.9300,-0.1466,-0.0059,0.8932,195.69517517089844
0.9520,-0.1319,0.1065,1.0789,195.69517517089844
0.9980,-0.1319,0.1065,1.0789,195.69517517089844
1.0240,0.0479,0.0362,1.0173,195.69517517089844
1.0490,0.0479,0.0362,1.0173,195.69517517089844
1.0930,0.0410,-0.0156,1.1248,195.69517517089844
1.1020,0.0410,-0.0156,1.1248,195.69517517089844
1.1320,0.0410,-0.0156,1.1248,205.36488342285156
1.1530,0.0410,-0.0156,1.1248,205.36488342285156
1.1630,0.0391,-0.0889,0.9215,205.36488342285156
1.2040,0.0391,-0.0889,0.9215,205.36488342285156
1.2340,-0.0430,0.0049,1.1336,205.36488342285156
1.2550,-0.0430,0.0049,1.1336,205.36488342285156
1.3010,0.1339,-0.0107,1.0280,205.36488342285156
1.3060,0.1339,-0.0107,1.0280,205.36488342285156
1.3290,0.1339,-0.0107,1.0280,234.38613891601563
