time,x,y,z
1.914,0.02,-0.04,1.03
1.923,0.00,-0.05,1.04
1.933,0.00,-0.06,1.06
1.944,0.02,-0.04,1.04
1.953,0.00,-0.03,1.04
1.963,0.01,-0.03,1.03
1.973,0.01,-0.01,1.05
1.993,0.02,-0.01,1.05
1.994,0.02,-0.02,1.04
2.012,0.02,-0.01,1.03
2.013,0.01,-0.02,1.04
2.023,-0.00,-0.02,1.04
2.033,0.01,-0.03,1.04
2.043,0.02,-0.01,1.03
2.053,0.02,-0.03,1.04
2.063,0.04,-0.02,1.01
2.074,0.04,-0.04,1.02
2.092,0.04,-0.04,1.02
2.093,0.05,-0.04,1.00
2.103,0.04,-0.04,1.03
2.114,0.03,-0.05,1.04
2.123,0.02,-0.04,1.03
2.133,0.02,-0.03,1.02
2.143,0.02,-0.02,1.04
2.153,0.02,-0.02,1.02
2.163,0.01,-0.02,1.03
2.173,0.02,-0.03,1.04
2.192,0.01,-0.03,1.04
2.193,0.01,-0.04,1.02
2.203,0.02,-0.04,1.04
2.213,0.02,-0.03,1.02
2.225,0.02,-0.03,1.01
2.234,0.02,-0.03,1.02
2.244,0.03,-0.03,1.02
2.253,0.03,-0.03,1.01
2.263,0.02,-0.02,1.01
2.274,0.02,-0.02,1.00
2.302,0.02,-0.02,1.02
2.303,0.03,-0.02,1.02
2.303,0.03,-0.02,1.04
2.318,0.03,-0.02,1.05
2.324,0.03,-0.02,1.04
2.336,0.03,-0.02,1.06
2.345,0.03,-0.02,1.05
2.353,0.04,-0.03,1.05
2.364,0.04,-0.02,1.05
2.374,0.04,-0.04,1.05
2.383,0.03,-0.04,1.05
2.413,0.03,-0.03,1.04
2.414,0.03,-0.03,1.03
2.414,0.02,-0.02,1.02
2.424,0.02,-0.02,1.02
2.433,0.02,-0.01,1.02
2.443,0.02,-0.02,1.01
2.453,0.02,-0.02,1.02
2.465,0.01,-0.02,1.02
2.473,0.02,-0.01,1.02
2.483,0.02,-0.02,1.03
2.508,0.02,-0.03,1.03
2.509,0.00,-0.03,1.02
2.513,-0.00,-0.04,1.06
2.523,0.01,-0.04,1.03
2.534,0.00,-0.04,1.04
2.543,-0.00,-0.02,1.04
2.553,0.00,-0.02,1.05
2.564,-0.00,-0.02,1.04
2.573,-0.00,-0.03,1.04
2.583,-0.01,-0.03,1.05
2.604,-0.00,-0.02,1.05
2.605,0.01,-0.00,1.04
2.629,0.00,-0.02,1.04
2.629,0.01,-0.02,1.02
2.633,0.01,-0.02,1.02
2.644,0.02,-0.03,1.03
2.653,0.02,-0.02,1.00
2.667,0.02,-0.03,1.01
2.674,0.01,-0.02,1.02
2.683,0.02,-0.02,1.02
2.708,0.02,-0.02,1.03
2.709,0.02,-0.04,1.03
2.726,0.02,-0.03,1.04
2.727,0.03,-0.03,1.04
2.733,0.03,-0.02,1.03
2.744,0.02,-0.02,1.02
2.753,0.02,-0.03,1.03
2.764,0.02,-0.02,1.03
2.773,0.02,-0.03,1.01
2.784,0.02,-0.04,1.02
2.814,0.03,-0.04,1.04
2.814,0.02,-0.04,1.02
2.815,0.02,-0.02,1.04
2.823,0.03,-0.02,1.02
2.837,0.02,-0.02,1.04
2.846,0.01,-0.04,1.03
2.853,0.00,-0.02,1.04
2.864,0.00,-0.04,1.03
2.873,0.01,-0.04,1.04
2.883,0.01,-0.02,1.03
2.908,-0.00,-0.04,1.03
2.909,0.00,-0.04,1.02
2.913,0.02,-0.02,1.01
2.925,-0.00,-0.02,1.04
2.933,-0.00,-0.02,1.04
2.943,-0.00,-0.02,1.02
2.953,-0.00,-0.04,1.04
2.963,0.00,-0.03,1.04
2.974,0.02,-0.04,1.03
2.984,0.00,-0.02,1.03
3.007,0.01,-0.03,1.03
3.008,0.02,-0.03,1.03
3.014,0.01,-0.03,1.02
3.023,0.00,-0.04,1.02
3.033,-0.00,-0.04,1.03
3.045,0.01,-0.03,1.03
3.053,0.01,-0.04,1.03
3.064,0.00,-0.03,1.04
3.073,0.01,-0.02,1.03
