time,x,y,z
0.005,-0.09,0.26,1.07
0.017,-0.09,0.26,1.07
0.023,-0.10,0.28,1.04
0.038,-0.08,0.27,1.03
0.043,-0.06,0.27,1.03
0.053,-0.06,0.26,1.03
0.072,-0.06,0.26,1.01
0.073,-0.06,0.26,1.02
0.084,-0.05,0.25,1.01
0.093,-0.06,0.24,1.01
0.104,-0.05,0.24,1.02
0.114,-0.06,0.22,1.02
0.124,-0.05,0.23,1.01
0.134,-0.04,0.23,1.02
0.143,-0.03,0.24,1.02
0.154,-0.04,0.24,1.01
0.172,-0.04,0.23,1.03
0.173,-0.04,0.23,1.04
0.184,-0.04,0.23,1.02
0.193,-0.04,0.22,1.02
0.204,-0.05,0.21,1.04
0.221,-0.04,0.21,1.02
0.222,-0.04,0.21,1.03
0.235,-0.04,0.21,1.04
0.243,-0.03,0.22,1.02
0.254,-0.03,0.22,1.02
0.265,-0.04,0.24,1.01
0.276,-0.04,0.26,1.02
0.284,-0.04,0.25,1.02
0.293,-0.04,0.25,1.01
0.308,-0.04,0.25,1.01
0.315,-0.05,0.24,1.03
0.325,-0.04,0.25,1.03
0.334,-0.05,0.24,1.02
0.359,-0.05,0.23,1.02
0.359,-0.06,0.24,1.04
0.368,-0.04,0.24,1.05
0.386,-0.05,0.23,1.01
0.387,-0.06,0.24,1.03
0.393,-0.04,0.24,1.03
0.403,-0.05,0.24,1.04
0.413,-0.05,0.25,1.02
0.423,-0.06,0.24,1.06
0.437,-0.05,0.22,1.05
0.443,-0.06,0.23,1.00
0.453,-0.06,0.24,1.01
0.463,-0.04,0.24,1.00
0.479,-0.04,0.26,1.02
0.483,-0.05,0.26,1.00
0.493,-0.05,0.26,1.06
0.504,-0.06,0.26,1.04
0.531,-0.04,0.26,1.04
0.532,-0.04,0.25,1.06
0.532,-0.03,0.25,1.04
0.546,-0.04,0.24,1.04
0.567,-0.04,0.24,1.04
0.568,-0.04,0.24,1.05
0.580,-0.03,0.24,1.05
0.584,-0.02,0.25,1.04
0.593,-0.02,0.25,1.04
0.603,-0.02,0.26,1.04
0.613,-0.02,0.27,1.03
0.624,-0.01,0.28,1.04
0.634,-0.00,0.29,1.03
0.643,-0.00,0.27,1.02
0.654,-0.00,0.26,1.03
0.664,-0.00,0.25,1.03
0.677,-0.01,0.25,1.03
0.688,-0.01,0.25,1.04
0.693,-0.00,0.24,1.04
0.704,-0.00,0.24,1.03
0.714,0.00,0.25,1.04
0.735,-0.00,0.26,1.04
0.737,-0.00,0.25,1.04
0.743,-0.02,0.28,1.03
0.754,0.02,0.26,0.95
0.763,0.01,0.25,1.07
0.773,-0.01,0.28,1.10
0.788,-0.00,0.25,1.00
0.793,0.00,0.24,0.99
0.804,-0.01,0.25,1.04
0.813,-0.02,0.26,1.06
0.824,-0.01,0.27,1.03
0.834,-0.02,0.27,1.03
0.843,-0.03,0.28,1.03
0.854,-0.02,0.28,1.03
0.867,-0.02,0.28,1.01
0.873,-0.00,0.28,1.02
0.886,-0.01,0.27,1.02
0.893,-0.00,0.27,1.02
0.905,-0.02,0.27,1.01
0.914,-0.01,0.26,1.01
0.924,-0.02,0.27,1.01
0.934,-0.01,0.28,0.99
0.943,-0.02,0.28,1.00
0.954,-0.02,0.28,1.01
0.964,-0.03,0.31,1.02
0.974,-0.02,0.30,1.03
0.988,-0.02,0.27,1.02
0.994,-0.01,0.26,1.03
1.008,-0.01,0.24,1.03
1.019,-0.00,0.24,1.03
1.031,-0.00,0.23,1.02
1.032,0.01,0.24,1.01
1.043,0.02,0.25,1.01
1.054,0.00,0.26,1.00
1.073,-0.01,0.27,1.00
1.088,-0.01,0.26,1.02
1.094,-0.00,0.26,1.02
1.104,0.02,0.26,1.00
1.114,0.01,0.25,1.00
1.124,0.02,0.25,0.98
1.139,0.03,0.26,0.98
1.143,0.03,0.25,0.99
1.154,0.02,0.25,0.98
1.166,0.03,0.26,0.97
1.173,0.02,0.26,0.98
1.184,0.01,0.26,0.98
1.193,0.02,0.26,0.98
1.209,0.01,0.27,0.98
1.215,0.02,0.27,0.99
1.224,0.01,0.28,0.98
1.234,0.03,0.26,0.98
1.243,0.02,0.27,0.98
1.254,0.03,0.27,0.98
1.266,0.03,0.26,0.98
1.273,0.02,0.26,0.99
1.283,0.02,0.26,0.99
1.293,0.02,0.27,0.98
1.308,0.03,0.27,0.99
1.316,0.03,0.26,0.99
1.324,0.03,0.26,1.00
1.334,0.02,0.24,1.00
1.343,0.03,0.24,1.01
1.365,0.02,0.24,1.03
1.366,0.01,0.24,1.02
1.377,0.01,0.24,1.03
1.383,-0.00,0.24,1.04
1.393,-0.01,0.24,1.04
1.408,-0.02,0.25,1.03
1.421,-0.02,0.26,1.05
1.422,-0.03,0.26,1.04
1.433,-0.02,0.26,1.03
1.443,-0.02,0.26,1.02
1.454,-0.02,0.27,1.02
1.476,-0.01,0.26,1.02
1.477,-0.01,0.27,1.02
1.485,-0.02,0.26,1.03
1.493,-0.01,0.26,1.01
1.507,-0.01,0.26,1.02
1.516,-0.01,0.26,1.03
1.545,-0.01,0.27,1.03
1.546,-0.03,0.27,1.03
1.546,-0.02,0.26,1.02
1.554,-0.01,0.27,1.00
1.596,-0.01,0.25,1.04
1.597,-0.01,0.24,1.05
1.598,-0.02,0.23,1.03
1.598,-0.02,0.25,1.02
1.615,-0.02,0.24,1.04
1.615,-0.03,0.24,1.03
1.623,-0.02,0.25,1.02
1.639,-0.01,0.25,1.01
1.643,-0.02,0.24,1.02
1.658,-0.02,0.24,1.04
1.664,-0.02,0.24,1.02
1.673,-0.02,0.25,1.01
1.689,-0.01,0.24,1.02
1.693,-0.01,0.24,1.03
1.704,-0.02,0.24,1.02
1.718,-0.02,0.24,1.03
1.723,-0.02,0.24,1.03
1.735,-0.02,0.24,1.04
1.744,-0.02,0.24,1.03
1.754,-0.02,0.24,1.02
1.765,-0.01,0.24,1.02
1.773,-0.01,0.24,1.03
