time,x,y,z
0.006,0.06,0.07,1.03
0.017,0.06,0.06,1.02
0.029,0.06,0.08,1.01
0.036,0.07,0.11,1.01
0.048,0.08,0.09,1.00
0.056,0.07,0.07,1.01
0.078,0.06,0.08,1.03
0.078,0.06,0.08,1.01
0.086,0.06,0.06,1.02
0.103,0.06,0.06,1.03
0.106,0.06,0.05,1.05
0.117,0.07,0.06,1.02
0.133,0.06,0.05,1.04
0.136,0.06,0.06,1.06
0.149,0.08,0.06,1.05
0.156,0.07,0.07,1.04
0.166,0.08,0.06,1.04
0.197,0.08,0.07,1.04
0.198,0.06,0.06,1.05
0.199,0.06,0.07,1.06
0.206,0.05,0.06,1.05
0.217,0.06,0.06,1.03
0.228,0.05,0.05,1.02
0.236,0.06,0.06,1.01
0.246,0.07,0.05,1.00
0.256,0.08,0.06,1.02
0.282,0.07,0.06,1.02
0.283,0.08,0.07,1.03
0.286,0.08,0.07,1.05
0.297,0.08,0.07,1.03
0.306,0.08,0.07,1.04
0.317,0.07,0.08,1.04
0.333,0.06,0.06,1.04
0.336,0.06,0.06,1.04
0.346,0.06,0.06,1.05
0.356,0.04,0.05,1.03
0.382,0.05,0.04,1.04
0.383,0.06,0.05,1.05
0.386,0.05,0.05,1.03
0.398,0.05,0.05,1.04
0.406,0.04,0.05,1.05
0.416,0.04,0.05,1.05
0.429,0.06,0.04,1.05
0.436,0.07,0.05,1.02
0.451,0.07,0.05,1.00
0.456,0.07,0.07,1.02
0.466,0.08,0.07,1.04
0.500,0.08,0.06,1.06
0.501,0.07,0.08,1.05
0.501,0.08,0.06,1.03
0.506,0.08,0.06,1.02
0.517,0.08,0.06,1.01
0.534,0.07,0.06,1.00
0.536,0.08,0.06,1.02
0.546,0.08,0.06,1.05
0.556,0.06,0.07,1.04
0.587,0.06,0.07,1.06
0.588,0.06,0.06,1.05
0.589,0.07,0.06,1.03
0.606,0.08,0.05,1.04
0.607,0.08,0.04,1.04
0.617,0.06,0.05,1.06
0.633,0.06,0.04,1.06
0.636,0.07,0.05,1.06
0.650,0.08,0.04,1.06
0.656,0.07,0.04,1.05
0.666,0.06,0.03,1.01
0.692,0.08,0.02,1.01
0.693,0.08,0.03,1.00
0.700,0.08,0.04,1.01
0.706,0.08,0.03,1.01
0.718,0.08,0.04,1.02
0.729,0.08,0.04,1.03
0.736,0.09,0.03,1.04
0.746,0.08,0.05,1.04
0.756,0.10,0.04,1.04
0.787,0.08,0.05,1.03
0.788,0.08,0.06,1.03
0.788,0.06,0.05,1.03
0.797,0.06,0.07,1.02
0.806,0.07,0.04,1.02
0.823,0.06,0.05,1.03
0.833,0.06,0.04,1.04
0.838,0.07,0.06,1.05
0.846,0.06,0.07,1.05
0.856,0.07,0.08,1.04
0.874,0.06,0.08,1.04
0.880,0.05,0.07,1.00
0.894,0.06,0.06,0.98
0.896,0.07,0.06,1.01
0.906,0.08,0.07,1.04
0.917,0.07,0.07,1.05
0.929,0.09,0.07,1.06
0.936,0.08,0.06,1.03
0.946,0.08,0.05,1.00
0.956,0.08,0.04,1.00
0.971,0.07,0.05,1.03
0.994,0.07,0.05,1.04
0.995,0.07,0.04,1.06
0.996,0.07,0.04,1.06
1.006,0.07,0.05,1.04
1.017,0.08,0.05,1.03
1.029,0.07,0.04,1.03
1.036,0.06,0.05,1.02
1.046,0.06,0.05,1.04
1.056,0.06,0.06,1.03
1.083,0.06,0.04,1.00
1.084,0.08,0.05,1.04
1.087,0.07,0.05,1.03
1.096,0.08,0.05,1.04
1.106,0.07,0.06,1.05
1.116,0.08,0.05,1.04
1.128,0.07,0.04,1.02
1.136,0.07,0.05,1.02
1.146,0.07,0.06,1.04
1.156,0.07,0.06,1.04
1.183,0.07,0.06,1.04
1.183,0.06,0.06,1.05
1.192,0.06,0.06,1.05
1.196,0.06,0.05,1.06
1.206,0.06,0.05,1.04
1.217,0.06,0.04,1.05
1.232,0.07,0.04,1.03
1.236,0.07,0.04,1.04
1.256,0.06,0.05,1.04
1.274,0.07,0.05,1.04
1.294,0.07,0.06,1.04
1.295,0.07,0.06,1.04
1.297,0.06,0.05,1.04
1.306,0.06,0.05,1.04
1.317,0.06,0.04,1.03
1.329,0.07,0.04,1.02
1.337,0.06,0.04,1.00
1.346,0.06,0.04,1.01
1.356,0.07,0.05,0.99
1.383,0.07,0.06,1.03
1.384,0.06,0.06,1.02
1.386,0.06,0.06,1.02
1.397,0.06,0.06,1.02
1.406,0.05,0.06,1.03
1.416,0.06,0.07,1.02
1.432,0.06,0.05,1.04
1.436,0.06,0.06,1.04
1.446,0.07,0.05,1.04
1.456,0.06,0.06,1.04
1.471,0.07,0.06,1.03
1.494,0.08,0.06,1.04
1.495,0.07,0.06,1.06
1.496,0.07,0.06,1.06
1.506,0.07,0.05,1.05
1.517,0.07,0.05,1.06
1.528,0.06,0.06,1.03
1.536,0.06,0.05,1.03
1.546,0.06,0.05,1.02
1.556,0.07,0.05,1.04
1.582,0.06,0.05,1.04
1.583,0.06,0.04,1.05
1.586,0.06,0.05,1.04
1.598,0.07,0.05,1.05
1.606,0.06,0.05,1.05
1.616,0.07,0.04,1.05
1.628,0.07,0.03,1.04
1.636,0.06,0.04,1.04
1.647,0.06,0.04,1.04
1.656,0.07,0.04,1.05
1.677,0.08,0.05,1.03
1.678,0.07,0.06,1.05
1.687,0.07,0.05,1.04
1.697,0.07,0.05,1.05
1.706,0.06,0.06,1.04
1.716,0.07,0.06,1.06
1.731,0.07,0.06,1.04
1.736,0.06,0.05,1.03
1.746,0.06,0.05,1.04
1.756,0.06,0.05,1.03
1.787,0.07,0.05,1.02
1.788,0.07,0.05,1.04
1.788,0.06,0.05,1.02
1.808,0.06,0.05,1.01
1.809,0.07,0.04,1.02
1.817,0.05,0.05,1.02
1.834,0.05,0.04,1.02
1.850,0.06,0.05,1.02
1.850,0.06,0.05,1.01
1.856,0.06,0.04,1.01
1.866,0.06,0.03,1.02
1.900,0.07,0.03,1.03
1.901,0.07,0.04,1.01
1.902,0.07,0.04,1.02
1.906,0.08,0.03,1.02
1.916,0.08,0.05,1.04
1.927,0.07,0.05,1.04
1.936,0.08,0.04,1.03
1.947,0.07,0.04,1.02
1.956,0.07,0.04,1.01
1.966,0.06,0.04,1.02
2.003,0.07,0.03,1.03
2.004,0.07,0.04,1.02
2.005,0.06,0.05,1.03
2.008,0.06,0.06,1.05
2.016,0.06,0.04,1.06
2.032,0.06,0.04,1.05
2.036,0.06,0.04,1.06
2.046,0.06,0.04,1.04
2.056,0.06,0.03,1.06
2.066,0.07,0.04,1.02
2.088,0.06,0.03,1.06
2.089,0.06,0.03,1.02
2.111,0.08,0.04,1.01
2.112,0.06,0.04,1.02
2.116,0.06,0.06,1.04
2.128,0.06,0.05,1.02
2.136,0.06,0.02,1.05
2.147,0.05,0.04,1.04
2.156,0.06,0.03,1.05
2.166,0.06,0.04,1.04
2.204,0.06,0.03,1.04
2.204,0.08,0.04,1.05
2.205,0.07,0.04,1.06
2.216,0.08,0.03,1.05
2.228,0.06,0.03,1.04
2.236,0.07,0.03,1.04
2.247,0.07,0.04,1.02
2.256,0.06,0.04,1.05
2.266,0.06,0.04,1.04
2.294,0.08,0.04,1.04
2.295,0.07,0.03,1.03
2.299,0.06,0.03,1.02
2.306,0.06,0.04,1.03
2.317,0.07,0.03,1.03
2.331,0.06,0.03,1.03
2.336,0.06,0.02,1.02
2.346,0.06,0.02,1.03
2.356,0.05,0.03,1.02
2.366,0.05,0.02,1.06
2.400,0.05,0.04,1.05
2.401,0.06,0.03,1.06
2.404,0.06,0.02,1.04
2.406,0.06,0.03,1.04
2.416,0.06,0.04,1.04
2.430,0.06,0.04,1.02
2.436,0.06,0.04,1.02
2.446,0.06,0.04,1.02
2.456,0.06,0.04,1.03
2.466,0.04,0.04,1.04
2.504,0.05,0.04,1.06
2.505,0.04,0.05,1.07
2.506,0.05,0.04,1.06
2.507,0.04,0.05,1.06
2.516,0.06,0.04,1.06
2.529,0.06,0.03,1.04
2.536,0.06,0.04,1.02
2.546,0.05,0.04,1.02
2.556,0.06,0.05,1.04
2.566,0.06,0.05,1.03
2.604,0.06,0.04,1.03
2.605,0.06,0.03,1.01
2.606,0.05,0.02,1.03
2.607,0.06,0.03,1.04
2.617,0.06,0.02,1.04
2.632,0.06,0.02,1.04
2.636,0.06,0.03,1.03
2.647,0.07,0.03,1.03
2.656,0.05,0.03,1.03
2.666,0.07,0.02,1.03
2.703,0.07,0.02,1.04
2.703,0.06,0.02,1.04
2.704,0.06,0.03,1.04
2.706,0.06,0.02,1.02
2.717,0.06,0.04,1.02
2.732,0.06,0.04,1.02
2.736,0.08,0.03,1.02
2.746,0.05,0.03,1.03
2.756,0.06,0.03,1.03
2.766,0.06,0.03,1.04
2.790,0.06,0.03,1.03
