time,x,y,z
1.870,-0.01,0.16,1.07
1.880,-0.01,0.16,1.08
1.901,-0.01,0.16,1.05
1.902,-0.02,0.17,1.05
1.923,-0.02,0.19,1.05
1.923,-0.02,0.20,1.06
1.932,-0.03,0.20,1.06
1.940,-0.02,0.21,1.07
1.950,-0.00,0.22,1.07
1.968,-0.01,0.21,1.07
1.971,-0.00,0.22,1.07
1.980,0.01,0.22,1.06
1.990,0.01,0.20,1.08
2.001,0.00,0.20,1.08
2.013,-0.01,0.19,1.10
2.020,-0.01,0.18,1.08
2.034,-0.02,0.19,1.08
2.045,-0.02,0.18,1.08
2.056,-0.01,0.20,1.06
2.082,-0.02,0.20,1.04
2.083,-0.02,0.20,1.02
2.083,-0.01,0.21,1.00
2.093,-0.01,0.21,1.00
2.117,-0.01,0.20,1.02
2.117,-0.02,0.18,0.99
2.123,-0.02,0.18,1.01
2.131,-0.01,0.19,1.00
2.141,-0.01,0.20,1.01
2.151,-0.02,0.18,1.01
2.162,-0.02,0.19,1.00
2.171,-0.01,0.19,0.99
2.180,-0.01,0.19,1.00
2.192,-0.00,0.20,1.00
2.208,-0.01,0.19,1.00
2.209,-0.01,0.20,1.00
2.221,-0.02,0.20,1.01
2.237,-0.02,0.18,1.01
2.247,-0.02,0.18,1.01
2.262,-0.02,0.17,1.01
2.263,-0.02,0.17,1.02
2.277,-0.02,0.18,1.02
2.290,-0.02,0.17,1.02
2.290,-0.02,0.17,1.01
2.305,-0.03,0.18,1.02
2.324,-0.04,0.19,1.02
2.326,-0.03,0.19,1.01
2.333,-0.03,0.18,1.03
2.340,-0.02,0.18,1.03
2.350,-0.02,0.18,1.03
2.362,-0.01,0.16,1.03
2.370,-0.01,0.17,1.04
2.380,-0.03,0.18,1.04
2.407,-0.02,0.20,1.04
2.412,-0.02,0.20,1.05
2.421,-0.02,0.22,1.04
2.433,-0.02,0.21,1.03
2.440,-0.02,0.20,1.05
2.451,-0.03,0.19,1.03
2.463,-0.02,0.18,1.07
2.470,-0.03,0.16,1.06
2.481,-0.02,0.16,1.06
2.490,-0.02,0.18,1.04
2.508,-0.00,0.16,1.03
2.509,-0.01,0.19,1.01
2.521,-0.04,0.19,1.07
2.531,-0.04,0.18,1.05
2.540,-0.03,0.20,1.04
2.551,-0.03,0.20,1.06
2.564,-0.03,0.18,1.06
2.572,-0.05,0.17,1.05
2.580,-0.03,0.16,1.06
2.590,-0.02,0.16,1.05
2.612,-0.01,0.16,1.06
2.613,-0.02,0.16,1.05
2.620,-0.03,0.17,1.04
2.632,-0.04,0.17,1.04
2.640,-0.03,0.18,1.05
2.651,-0.03,0.18,1.02
2.661,-0.03,0.19,1.03
2.671,-0.02,0.20,1.03
2.699,-0.02,0.18,1.04
2.700,-0.02,0.19,1.03
2.701,-0.02,0.18,1.04
2.711,-0.02,0.18,1.02
2.724,-0.02,0.18,1.04
2.735,-0.03,0.18,1.03
2.740,-0.02,0.18,1.04
2.751,-0.02,0.19,1.04
2.763,-0.02,0.18,1.04
2.770,-0.03,0.18,1.04
2.780,-0.03,0.18,1.05
2.790,-0.02,0.18,1.04
2.801,-0.02,0.18,1.03
2.817,-0.02,0.17,1.04
2.820,-0.01,0.17,1.03
2.833,-0.02,0.18,1.03
2.840,-0.01,0.18,1.02
2.850,-0.01,0.19,1.02
2.860,-0.01,0.19,1.03
2.870,-0.02,0.19,1.04
2.896,-0.02,0.18,1.04
2.896,-0.02,0.18,1.03
2.911,-0.02,0.19,1.04
2.912,-0.02,0.18,1.03
2.930,-0.02,0.18,1.05
2.930,-0.02,0.18,1.03
2.940,-0.01,0.17,1.04
2.951,-0.02,0.15,1.03
2.966,-0.01,0.16,1.04
2.970,-0.02,0.18,1.02
2.980,-0.05,0.17,1.04
2.990,-0.05,0.17,1.04
3.011,-0.08,0.18,1.05
3.026,-0.09,0.18,1.06
3.027,-0.08,0.16,1.06
3.041,-0.07,0.16,1.06
3.042,-0.05,0.15,1.05
3.051,-0.05,0.14,1.06
3.069,-0.03,0.14,1.05
3.069,-0.02,0.14,1.05
3.087,-0.02,0.14,1.04
3.098,-0.04,0.14,1.04
3.099,-0.05,0.16,1.04
3.132,-0.10,0.17,1.07
3.133,-0.14,0.19,1.08
3.134,-0.17,0.13,1.04
3.159,-0.14,0.15,1.04
3.160,-0.12,0.16,1.06
3.160,-0.08,0.18,1.05
3.170,-0.06,0.16,1.05
3.180,-0.02,0.16,1.06
3.190,-0.04,0.13,1.00
3.206,-0.01,0.13,1.00
3.212,0.01,0.15,1.03
3.221,0.02,0.18,1.08
3.237,0.00,0.18,1.08
3.241,-0.01,0.17,1.05
3.251,-0.05,0.17,1.05
3.267,-0.08,0.18,1.03
3.295,-0.09,0.19,1.02
3.295,-0.05,0.21,1.01
3.296,-0.04,0.21,1.03
3.305,-0.01,0.22,1.03
3.323,0.01,0.24,1.03
3.326,0.02,0.23,1.03
3.331,0.02,0.22,1.02
3.341,0.04,0.21,1.02
3.350,0.02,0.21,1.01
3.363,0.00,0.21,1.00
3.370,-0.01,0.23,1.00
3.383,-0.00,0.24,1.00
3.390,0.01,0.24,1.00
3.400,0.02,0.26,1.00
3.430,0.03,0.27,1.00
3.431,0.04,0.28,1.00
3.431,0.05,0.27,1.01
3.440,0.02,0.25,1.00
3.451,0.02,0.22,1.02
3.461,0.02,0.22,1.02
3.472,0.02,0.22,1.02
3.486,0.02,0.21,1.02
3.490,-0.01,0.22,1.02
3.506,-0.02,0.23,1.02
3.519,-0.02,0.25,1.02
3.520,-0.04,0.26,1.02
3.534,-0.04,0.26,1.03
3.540,-0.03,0.26,1.03
3.550,-0.03,0.26,1.02
3.566,-0.02,0.26,0.98
3.570,-0.01,0.23,1.02
3.580,-0.00,0.22,1.03
3.590,0.01,0.22,1.00
3.602,0.01,0.25,1.00
3.610,0.00,0.25,1.01
3.621,-0.06,0.26,1.02
3.633,-0.05,0.29,0.99
3.640,-0.04,0.32,1.02
3.650,-0.04,0.31,1.00
3.667,-0.03,0.29,1.03
3.670,-0.01,0.29,1.02
3.684,-0.04,0.25,1.01
3.690,-0.06,0.21,1.01
3.702,-0.06,0.15,1.02
3.726,-0.05,0.15,1.01
3.727,-0.03,0.20,1.00
3.735,-0.01,0.23,1.02
3.741,0.02,0.25,1.02
3.750,0.02,0.28,1.01
3.766,0.03,0.28,1.01
3.770,0.00,0.26,1.01
3.780,-0.01,0.24,1.03
