time,x,y,z
0.003,-0.05,0.14,1.04
0.021,-0.06,0.12,1.04
0.022,-0.04,0.13,1.05
0.033,-0.04,0.13,1.04
0.043,-0.06,0.12,1.04
0.053,-0.05,0.12,1.03
0.073,-0.05,0.13,1.04
0.074,-0.05,0.12,1.04
0.090,-0.06,0.14,1.04
0.093,-0.07,0.13,1.04
0.103,-0.06,0.13,1.04
0.119,-0.06,0.14,1.02
0.122,-0.06,0.13,1.02
0.133,-0.04,0.14,1.02
0.142,-0.05,0.14,1.05
0.153,-0.05,0.14,1.03
0.181,-0.04,0.13,1.04
0.183,-0.04,0.12,1.03
0.183,-0.04,0.13,1.02
0.193,-0.04,0.13,1.04
0.203,-0.04,0.12,1.03
0.214,-0.04,0.14,1.04
0.223,-0.04,0.13,1.06
0.233,-0.04,0.13,1.06
0.242,-0.04,0.12,1.07
0.253,-0.04,0.13,1.06
0.277,-0.03,0.12,1.04
0.278,-0.04,0.12,1.06
0.287,-0.03,0.12,1.04
0.292,-0.04,0.13,1.05
0.313,-0.03,0.12,1.05
0.322,-0.03,0.13,1.05
0.333,-0.03,0.13,1.05
0.342,-0.03,0.12,1.05
0.353,-0.04,0.12,1.07
0.367,-0.03,0.11,1.06
0.372,-0.03,0.12,1.07
0.389,-0.03,0.12,1.06
0.395,-0.02,0.13,1.05
0.407,-0.02,0.13,1.04
0.419,-0.02,0.13,1.04
0.422,-0.02,0.13,1.05
0.433,-0.01,0.13,1.04
0.442,-0.01,0.12,1.05
0.453,-0.02,0.11,1.04
0.464,-0.02,0.13,1.06
0.472,-0.02,0.12,1.05
0.487,-0.02,0.13,1.06
0.493,-0.02,0.12,1.02
0.511,-0.01,0.14,1.04
0.513,-0.02,0.12,1.04
0.522,-0.02,0.11,1.04
0.533,-0.01,0.12,1.04
0.542,-0.01,0.11,1.03
0.553,-0.01,0.12,1.02
0.564,-0.01,0.12,1.04
0.572,-0.01,0.13,1.06
0.582,-0.02,0.12,1.06
0.592,-0.01,0.12,1.04
0.603,-0.01,0.11,1.04
0.625,-0.02,0.11,1.04
0.626,-0.02,0.12,1.03
0.637,-0.02,0.12,1.05
0.642,-0.02,0.12,1.04
0.653,-0.03,0.11,1.05
0.664,-0.02,0.11,1.04
0.672,-0.02,0.12,1.04
0.683,-0.02,0.11,1.06
0.692,-0.01,0.11,1.04
0.713,0.00,0.12,1.03
0.714,-0.00,0.11,1.05
0.722,-0.00,0.12,1.04
0.733,-0.00,0.12,1.05
0.742,-0.02,0.11,1.06
0.753,-0.01,0.11,1.04
0.763,-0.02,0.12,1.04
0.772,-0.01,0.11,1.04
0.782,-0.02,0.10,1.05
0.793,-0.02,0.12,1.06
0.812,-0.02,0.12,1.04
0.813,-0.00,0.12,1.03
0.823,-0.01,0.12,1.03
0.833,-0.01,0.12,1.05
0.843,-0.01,0.12,1.06
0.853,-0.01,0.11,1.05
0.864,-0.02,0.11,1.05
0.873,-0.02,0.10,1.05
0.883,-0.01,0.12,1.06
0.893,-0.02,0.12,1.06
0.916,-0.01,0.12,1.06
0.917,-0.01,0.12,1.06
0.922,-0.01,0.12,1.04
0.933,-0.01,0.12,1.04
0.942,-0.01,0.12,1.04
0.953,-0.02,0.12,1.05
0.969,-0.01,0.12,1.06
0.972,-0.00,0.11,1.05
0.983,-0.00,0.11,1.05
0.992,-0.02,0.11,1.07
1.003,-0.00,0.11,1.06
1.031,-0.02,0.11,1.05
1.032,-0.00,0.11,1.07
1.033,-0.02,0.11,1.05
1.043,-0.01,0.11,1.03
1.061,-0.00,0.11,1.04
1.063,-0.00,0.12,1.05
1.072,-0.00,0.11,1.04
1.082,-0.00,0.12,1.05
1.093,-0.01,0.10,1.06
1.103,-0.01,0.11,1.05
1.124,-0.00,0.11,1.04
1.125,-0.01,0.11,1.04
1.137,-0.01,0.10,1.04
1.143,-0.01,0.12,1.05
1.153,-0.01,0.11,1.03
1.164,-0.00,0.10,1.04
1.172,-0.00,0.11,1.04
1.183,-0.00,0.11,1.04
1.192,-0.00,0.12,1.06
1.203,-0.00,0.12,1.05
1.225,-0.00,0.12,1.04
1.228,-0.00,0.12,1.05
1.233,-0.00,0.12,1.05
1.242,-0.01,0.11,1.06
1.253,-0.01,0.11,1.04
1.267,-0.02,0.10,1.05
1.272,-0.01,0.11,1.06
1.283,-0.02,0.12,1.06
1.292,-0.02,0.11,1.04
1.313,-0.02,0.10,1.06
1.314,-0.01,0.10,1.06
1.322,-0.01,0.11,1.03
1.333,-0.02,0.11,1.06
1.342,-0.01,0.11,1.04
1.353,-0.02,0.11,1.05
1.364,-0.01,0.11,1.06
1.372,-0.01,0.11,1.05
1.382,0.00,0.11,1.05
1.392,0.00,0.12,1.05
1.410,0.00,0.12,1.04
1.419,-0.00,0.12,1.05
1.423,-0.01,0.12,1.05
1.433,-0.01,0.12,1.03
1.443,-0.00,0.11,1.04
1.453,-0.01,0.11,1.06
1.467,-0.02,0.11,1.05
1.472,-0.01,0.11,1.04
1.483,-0.02,0.11,1.06
1.492,-0.01,0.11,1.04
1.513,-0.01,0.12,1.04
1.514,-0.00,0.11,1.04
1.522,-0.01,0.11,1.05
1.533,-0.02,0.11,1.06
1.542,-0.02,0.11,1.05
1.553,-0.02,0.11,1.05
1.569,-0.02,0.12,1.05
1.572,-0.01,0.10,1.04
1.582,-0.02,0.11,1.05
1.592,-0.02,0.12,1.06
1.612,-0.02,0.08,1.06
1.613,-0.02,0.11,1.05
1.622,-0.02,0.12,1.02
1.633,-0.02,0.10,1.06
1.642,-0.02,0.11,1.03
1.653,-0.04,0.10,1.05
1.667,-0.02,0.12,1.02
1.672,-0.03,0.11,1.05
1.682,-0.02,0.10,1.04
1.692,-0.02,0.10,1.06
1.707,-0.02,0.10,1.05
1.721,-0.01,0.10,1.06
1.723,-0.02,0.09,1.05
1.733,-0.01,0.10,1.05
1.742,-0.01,0.10,1.06
1.753,-0.00,0.10,1.04
1.764,-0.02,0.10,1.04
1.772,-0.01,0.11,1.06
1.783,-0.02,0.10,1.04
1.792,-0.02,0.10,1.05
1.812,-0.02,0.11,1.06
1.813,-0.02,0.09,1.05
1.822,-0.02,0.08,1.06
1.833,-0.01,0.09,1.06
1.842,-0.01,0.09,1.04
1.853,-0.01,0.10,1.05
1.868,-0.02,0.08,1.09
1.872,-0.01,0.09,1.03
1.883,-0.00,0.12,1.03
1.892,-0.01,0.10,1.05
1.910,-0.00,0.08,1.04
1.916,-0.02,0.10,1.06
1.922,-0.02,0.09,1.06
1.933,-0.02,0.09,1.07
1.942,-0.02,0.09,1.06
1.953,-0.02,0.10,1.03
1.968,-0.03,0.09,1.07
1.972,-0.03,0.08,1.05
1.983,-0.01,0.11,1.04
1.992,-0.00,0.11,1.02
2.006,-0.02,0.07,1.05
2.034,-0.02,0.08,1.06
2.035,0.00,0.09,1.03
2.035,-0.01,0.09,1.04
2.045,0.01,0.06,1.00
2.052,-0.00,0.07,1.10
2.072,-0.02,0.08,1.04
2.073,0.00,0.09,1.05
2.082,-0.03,0.08,1.04
2.092,-0.02,0.09,1.04
2.105,0.02,0.10,1.04
2.120,-0.02,0.08,1.05
2.122,-0.02,0.08,1.05
2.133,-0.00,0.09,1.03
2.142,0.00,0.10,1.04
2.153,-0.00,0.09,1.04
2.163,-0.01,0.08,1.05
2.172,-0.00,0.09,1.06
2.182,-0.00,0.08,1.07
2.192,-0.00,0.08,1.04
2.204,0.00,0.09,1.04
2.228,-0.00,0.08,1.06
2.229,-0.00,0.08,1.06
2.233,-0.00,0.08,1.05
2.242,0.00,0.09,1.04
2.253,-0.00,0.10,1.04
2.264,0.02,0.10,1.05
2.272,0.01,0.10,1.05
2.282,-0.00,0.09,1.05
2.292,-0.00,0.08,1.05
2.310,0.00,0.09,1.06
2.312,-0.00,0.07,1.06
2.322,-0.00,0.08,1.06
2.333,-0.00,0.08,1.04
2.342,-0.00,0.08,1.04
2.353,0.00,0.10,1.04
2.368,0.01,0.09,1.03
2.372,-0.00,0.09,1.03
2.382,0.01,0.10,1.05
2.392,0.01,0.10,1.05
2.407,-0.00,0.09,1.04
2.417,0.01,0.10,1.06
2.423,0.00,0.10,1.05
2.433,0.02,0.09,1.06
2.442,0.01,0.09,1.03
2.453,0.02,0.10,1.05
2.467,0.01,0.10,1.04
2.472,0.02,0.10,1.04
2.483,0.02,0.10,1.06
2.492,0.02,0.10,1.03
2.504,0.00,0.11,1.06
2.526,0.02,0.11,1.05
2.527,0.01,0.11,1.05
2.537,0.01,0.10,1.04
2.542,0.01,0.09,1.06
2.553,-0.00,0.10,1.06
2.568,-0.00,0.08,1.04
2.572,-0.00,0.09,1.05
2.583,-0.00,0.09,1.04
2.592,-0.01,0.08,1.03
2.617,-0.01,0.10,1.03
2.617,-0.00,0.10,1.01
2.622,-0.01,0.10,1.02
2.633,-0.01,0.12,1.04
2.642,0.00,0.11,1.03
2.653,0.01,0.10,1.04
2.664,0.01,0.10,1.03
2.672,-0.00,0.08,1.08
2.682,0.01,0.08,1.04
2.692,0.01,0.07,1.07
2.707,-0.00,0.10,1.07
2.729,0.01,0.09,1.04
2.730,0.01,0.09,1.01
2.732,-0.00,0.09,1.05
2.742,-0.01,0.11,1.08
2.753,-0.00,0.10,1.06
2.763,-0.00,0.09,1.07
2.772,0.01,0.09,1.07
2.783,-0.00,0.09,1.06
2.792,0.01,0.08,1.06
2.808,-0.00,0.08,1.06
2.823,0.00,0.09,1.05
2.824,0.01,0.10,1.04
2.833,0.01,0.10,1.03
2.842,0.01,0.10,1.02
2.853,0.01,0.10,1.05
2.864,0.02,0.11,1.05
2.872,0.02,0.11,1.06
2.883,0.01,0.09,1.05
2.892,0.00,0.09,1.04
2.913,0.01,0.09,1.05
2.914,0.01,0.10,1.05
2.923,0.02,0.10,1.04
2.933,-0.00,0.08,1.04
2.942,0.00,0.09,1.05
2.953,-0.00,0.11,1.04
2.969,0.00,0.10,1.06
2.972,0.02,0.10,1.05
2.983,0.01,0.09,1.06
2.992,0.02,0.09,1.06
3.013,0.02,0.09,1.05
3.029,0.02,0.09,1.06
3.029,0.01,0.10,1.05
3.036,0.01,0.09,1.04
3.043,0.02,0.09,1.04
3.053,0.01,0.10,1.04
3.063,0.01,0.11,1.04
3.073,0.01,0.12,1.04
3.082,0.01,0.10,1.04
3.092,0.01,0.10,1.03
3.106,0.01,0.11,1.04
3.123,0.01,0.10,1.05
3.124,0.01,0.10,1.05
3.133,0.01,0.10,1.04
3.142,-0.00,0.09,1.05
3.153,-0.00,0.10,1.04
3.168,0.00,0.10,1.03
3.172,0.00,0.10,1.05
3.183,-0.00,0.10,1.04
3.192,0.01,0.10,1.03
3.219,0.00,0.11,1.04
3.219,-0.00,0.10,1.06
3.233,-0.00,0.10,1.05
3.242,0.01,0.10,1.06
3.253,0.00,0.10,1.05
3.265,0.01,0.10,1.05
3.272,0.01,0.10,1.05
3.282,0.01,0.10,1.05
3.292,0.01,0.12,1.04
3.309,0.02,0.10,1.04
3.318,0.02,0.11,1.05
3.322,0.01,0.10,1.04
3.333,0.00,0.12,1.05
3.342,0.00,0.10,1.05
3.353,-0.00,0.10,1.04
3.366,0.00,0.10,1.05
3.372,0.01,0.10,1.06
3.382,0.00,0.11,1.05
3.392,0.01,0.10,1.06
3.410,0.00,0.10,1.04
3.422,-0.01,0.10,1.04
3.423,-0.00,0.10,1.04
3.433,0.01,0.11,1.04
3.442,-0.00,0.11,1.03
3.453,-0.00,0.10,1.05
3.467,-0.00,0.12,1.04
3.472,-0.01,0.13,1.04
3.482,-0.00,0.13,1.04
3.492,0.01,0.11,1.03
3.504,-0.00,0.12,1.06
3.529,0.00,0.12,1.04
3.530,-0.01,0.11,1.05
3.532,-0.00,0.12,1.05
3.542,0.00,0.12,1.05
3.553,0.00,0.12,1.04
3.566,-0.00,0.12,1.04
3.572,0.00,0.12,1.08
3.582,0.01,0.12,1.05
3.592,-0.00,0.11,1.04
3.611,-0.00,0.12,1.06
3.612,-0.00,0.11,1.06
3.622,0.00,0.11,1.05
3.633,0.01,0.12,1.06
3.642,0.01,0.11,1.03
3.653,0.00,0.12,1.04
3.668,0.01,0.12,1.04
3.672,0.01,0.13,1.04
3.682,0.01,0.12,1.03
3.692,0.00,0.12,1.04
3.705,0.00,0.14,1.04
3.729,-0.00,0.11,1.04
3.730,0.01,0.12,1.03
3.733,0.02,0.12,1.03
3.742,0.01,0.13,1.06
3.753,0.00,0.12,1.04
3.763,-0.01,0.11,1.04
3.772,0.01,0.11,1.04
3.783,-0.00,0.11,1.02
3.792,0.03,0.12,1.06
3.803,-0.00,0.12,1.07
3.827,0.01,0.12,1.06
3.828,-0.00,0.12,1.07
3.832,0.01,0.13,1.05
3.842,0.02,0.12,1.06
3.853,0.02,0.12,1.04
3.865,0.01,0.12,1.04
3.872,0.00,0.12,1.05
3.882,-0.00,0.13,1.05
3.892,0.02,0.13,1.03
3.903,0.02,0.12,1.04
3.928,0.02,0.14,1.02
3.929,0.02,0.12,1.05
3.932,0.01,0.14,1.05
3.942,-0.00,0.12,1.05
3.953,0.02,0.10,1.03
3.963,0.02,0.12,1.03
3.972,0.02,0.12,1.02
3.982,0.01,0.12,1.04
3.992,0.01,0.13,1.02
4.007,0.01,0.13,1.05
4.036,0.03,0.13,1.05
4.054,0.02,0.13,1.07
4.054,0.00,0.14,1.05
4.056,0.02,0.14,1.07
4.057,0.02,0.15,1.06
4.063,0.02,0.13,1.05
4.073,0.02,0.14,1.04
4.094,0.02,0.12,1.02
4.095,0.03,0.13,1.02
4.103,0.03,0.14,1.03
4.115,0.03,0.14,1.04
4.122,0.01,0.14,1.08
