Instante,Posicao
0.0,0.0
0.01,-0.0
0.023,-0.0
0.03,-0.0
0.04,-0.001
0.05,-0.001
0.06,-0.001
0.07,-0.001
0.08,-0.001
0.09,-0.001
0.1,-0.001
0.11,-0.001
0.122,-0.002
0.129,-0.002
0.14,-0.002
0.149,-0.002
0.159,-0.002
0.183,-0.003
0.184,-0.003
0.203,-0.003
0.206,-0.003
0.209,-0.003
0.22,-0.003
0.23,-0.003
0.243,-0.004
0.249,-0.004
0.26,-0.004
0.27,-0.004
0.28,-0.004
0.303,-0.005
0.304,-0.005
0.319,-0.005
0.321,-0.005
0.33,-0.005
0.34,-0.005
0.349,-0.005
0.36,-0.005
0.378,-0.006
0.404,-0.007
0.405,-0.007
0.405,-0.007
0.409,-0.007
0.419,-0.007
0.43,-0.007
0.443,-0.007
0.449,-0.007
0.46,-0.007
0.477,-0.008
0.48,-0.008
0.489,-0.008
0.499,-0.008
0.523,-0.009
0.529,-0.009
0.53,-0.009
0.541,-0.009
0.549,-0.009
0.56,-0.009
0.57,-0.009
0.58,-0.009
0.6,-0.01
0.6,-0.01
0.618,-0.01
0.621,-0.01
0.63,-0.01
0.643,-0.01
0.649,-0.01
0.66,-0.011
0.677,-0.011
0.68,-0.011
0.694,-0.011
0.699,-0.011
0.717,-0.012
0.721,-0.012
0.739,-0.012
0.74,-0.012
0.749,-0.012
0.76,-0.012
0.77,-0.012
0.78,-0.012
0.803,-0.013
0.804,-0.013
0.809,-0.013
0.82,-0.013
0.83,-0.013
0.84,-0.014
0.849,-0.014
0.86,-0.014
0.87,-0.014
0.88,-0.014
0.908,-0.015
0.909,-0.015
0.91,-0.015
0.92,-0.015
0.93,-0.015
0.94,-0.015
0.949,-0.015
0.96,-0.016
0.97,-0.016
0.98,-0.016
1.002,-0.016
1.003,-0.016
1.02,-0.017
1.021,-0.017
1.029,-0.017
1.04,-0.017
1.05,-0.017
1.07,-0.018
1.071,-0.018
1.079,-0.018
1.099,-0.018
1.1,-0.018
1.123,-0.019
1.124,-0.019
1.13,-0.019
1.14,-0.019
1.149,-0.019
1.16,-0.019
1.169,-0.019
1.179,-0.019
1.209,-0.021
1.21,-0.021
1.211,-0.021
1.227,-0.021
1.229,-0.021
1.24,-0.021
1.249,-0.021
1.26,-0.021
1.27,-0.021
1.279,-0.021
1.307,-0.022
1.307,-0.022
1.315,-0.022
1.325,-0.023
1.329,-0.023
1.344,-0.023
1.349,-0.023
1.36,-0.023
1.37,-0.023
1.38,-0.023
1.403,-0.024
1.403,-0.024
1.409,-0.024
1.422,-0.024
1.429,-0.024
1.44,-0.024
1.449,-0.024
1.46,-0.025
1.47,-0.025
1.48,-0.025
1.496,-0.025
1.504,-0.025
1.521,-0.026
