Instante,Posicao
0.0,0.0
0.002,0.0
0.047,0.002
0.2,0.025
0.202,0.025
0.25,0.027
0.4,0.05
0.404,0.05
0.451,0.052
0.6,0.074
0.603,0.074
0.651,0.076
0.8,0.098
0.804,0.098
0.851,0.1
1.0,0.122
1.003,0.122
1.051,0.124
1.2,0.146
1.203,0.146
1.251,0.149
1.4,0.17
1.404,0.17
1.452,0.173
1.599,0.194
1.603,0.194
1.653,0.197
1.8,0.218
1.803,0.218
1.853,0.22
1.999,0.248
2.002,0.248
2.054,0.252
2.199,0.279
2.202,0.279
2.256,0.283
2.399,0.31
2.402,0.31
2.457,0.313
2.6,0.34
2.668,0.346
2.668,0.346
2.8,0.369
2.802,0.369
2.858,0.373
2.999,0.399
3.002,0.399
3.059,0.403
3.199,0.429
3.202,0.429
3.26,0.433
3.4,0.459
3.402,0.459
3.461,0.463
3.6,0.488
3.602,0.488
3.661,0.493
3.8,0.518
3.802,0.518
3.862,0.523
3.999,0.547
4.002,0.547
4.062,0.552
4.2,0.577
4.202,0.577
4.263,0.581
4.399,0.606
4.402,0.606
4.463,0.61
4.6,0.635
4.602,0.635
4.664,0.64
4.8,0.664
4.802,0.664
4.864,0.669
4.999,0.693
5.002,0.693
5.065,0.698
5.199,0.721
5.202,0.721
5.265,0.726
5.4,0.75
5.402,0.75
5.466,0.756
5.599,0.779
5.602,0.779
5.666,0.784
5.8,0.807
5.802,0.807
5.867,0.813
5.999,0.835
6.002,0.835
6.066,0.841
6.199,0.864
6.202,0.864
6.267,0.869
6.399,0.892
6.402,0.892
6.468,0.898
6.599,0.92
6.602,0.92
6.668,0.926
6.8,0.949
6.802,0.949
6.868,0.954
7.0,0.977
7.002,0.977
7.068,0.983
7.2,1.005
7.202,1.005
7.271,1.011
7.4,1.033
7.402,1.033
7.469,1.039
7.6,1.061
7.602,1.061
7.677,1.069
7.8,1.088
7.802,1.088
7.87,1.094
8.0,1.116
8.002,1.116
8.07,1.122
8.2,1.144
8.202,1.144
8.271,1.151
8.4,1.172
8.402,1.172
8.471,1.179
8.6,1.2
8.602,1.2
8.671,1.206
8.8,1.228
8.802,1.228
8.872,1.234
8.999,1.255
9.002,1.256
9.073,1.262
9.2,1.283
9.202,1.283
9.286,1.292
9.4,1.309
9.402,1.309
9.474,1.316
9.6,1.337
9.602,1.337
9.674,1.343
9.8,1.364
9.802,1.364
9.874,1.371
10.0,1.392
10.002,1.392
10.074,1.398
10.202,1.42
10.203,1.42
10.275,1.426
10.4,1.447
10.402,1.447
10.475,1.454
